cr_year,cat,article_total,name,oa_articles,oa_share
2017,Germany,15615,Crossref,1010,0.06468139609349983
2017,Germany,15615,Unpaywall,922,0.0590457893051553
2018,Germany,15631,Crossref,1121,0.07171646087902246
2018,Germany,15631,Unpaywall,1118,0.07152453457872177
2019,Germany,15852,Crossref,1323,0.08345950037850114
2019,Germany,15852,Unpaywall,1337,0.08434266969467576
2020,Germany,17467,Crossref,8651,0.49527680769450966
2020,Germany,17467,Unpaywall,8678,0.496822579721761
2021,Germany,18220,Crossref,11219,0.6157519209659714
2021,Germany,18220,Unpaywall,11332,0.621953896816685
2022,Germany,15929,Crossref,10359,0.6503233096867349
2022,Germany,15929,Unpaywall,10371,0.6510766526461171
2023,Germany,15522,Crossref,10097,0.6504960700940601
2023,Germany,15522,Unpaywall,10104,0.6509470429068419
2024,Germany,7103,Crossref,4551,0.6407151907644657
2024,Germany,7103,Unpaywall,4709,0.6629593129663522
