cr_year,cat,article_total,name,oa_articles,oa_share
2017,Global,270792,Crossref,17917,0.06616517474666903
2017,Global,270792,Unpaywall,16774,0.06194422287216757
2018,Global,281653,Crossref,19580,0.06951816597018316
2018,Global,281653,Unpaywall,20136,0.07149222625003107
2019,Global,290640,Crossref,21776,0.07492430498210845
2019,Global,290640,Unpaywall,22524,0.07749793559042115
2020,Global,308094,Crossref,34188,0.11096613371243841
2020,Global,308094,Unpaywall,35002,0.11360818451511552
2021,Global,338517,Crossref,46408,0.13709208104762832
2021,Global,338517,Unpaywall,47643,0.14074034686588857
2022,Global,342416,Crossref,52097,0.15214534367552918
2022,Global,342416,Unpaywall,52865,0.15438822952198494
2023,Global,193531,Crossref,35178,0.18176932894471687
2023,Global,193531,Unpaywall,26438,0.13660860533971303
