esac_publisher,cat,name,2017,2018,2019,2020,2021,2022,2023,2024
Springer Nature,Germany,TDM Support,1,0.9965004374453194,0.9977477477477478,0.9994252212898034,1,1,0.9997044917257684,0.9967083607636603
Springer Nature,Germany,ORCID,0.36702649656526004,0.5118110236220472,0.6013513513513513,0.5751235774226923,0.6842385516506923,0.7003752525738478,0.6597714736012609,0.6559578670177748
Springer Nature,Germany,Funder info,0.465161923454367,0.5039370078740157,0.496996996996997,0.7542246235199448,0.8711395101171459,0.8920427210622535,0.8942080378250591,0.876366030283081
Springer Nature,Germany,Open Abstracts,0.06575073601570167,0.07349081364829396,0.3738738738738739,0.8806759397631911,0.8687433439829606,0.8752044645434427,0.8814026792750197,0.8813693219223173
Springer Nature,Germany,Open Citations,0.971540726202159,0.9798775153105862,0.9684684684684685,0.9456259340154041,0.9113418530351438,0.9344751274896566,0.9374507486209613,0.9436471362738644
Springer Nature,Global,TDM Support,0.9994443827091899,0.9989322757779133,0.9991290795746242,0.9978982397758123,1,1,0.9995158516836675,0.9935088681660267
Springer Nature,Global,ORCID,0.3753750416712968,0.5419971527354077,0.6657957462412908,0.6811746504364071,0.7710395773831253,0.7767833288805771,0.7362226414464348,0.702322179557506
Springer Nature,Global,Funder info,0.5628958773197021,0.5758084197681513,0.6222038870553722,0.7086434889219722,0.7058861425472974,0.7129689706499752,0.7365732316065376,0.7406442372158225
Springer Nature,Global,Open Abstracts,0.05117235248360929,0.06040268456375839,0.3513934726806014,0.9169220889161339,0.9146605965597956,0.9079996946681425,0.9149902335598257,0.8965685378192235
Springer Nature,Global,Open Citations,0.9840537837537504,0.9768151311775473,0.971947194719472,0.967393525410865,0.9557197156784848,0.9550589672149918,0.9569274946159368,0.9605808496373499
