cr_year,jn_all,cc,cc_total,prop
2017,2922,CC BY,73,0.024982888432580425
2017,2922,CC BY-SA,0,0
2017,2922,CC BY-NC,8,0.0027378507871321013
2017,2922,CC BY-NC-SA,0,0
2017,2922,CC BY-ND,0,0
2017,2922,CC BY-NC-ND,109,0.03730321697467488
2018,2806,CC BY,100,0.03563791874554526
2018,2806,CC BY-SA,0,0
2018,2806,CC BY-NC,3,0.0010691375623663579
2018,2806,CC BY-NC-SA,0,0
2018,2806,CC BY-ND,0,0
2018,2806,CC BY-NC-ND,73,0.02601568068424804
2019,3035,CC BY,144,0.04744645799011532
2019,3035,CC BY-SA,0,0
2019,3035,CC BY-NC,6,0.0019769357495881385
2019,3035,CC BY-NC-SA,0,0
2019,3035,CC BY-ND,0,0
2019,3035,CC BY-NC-ND,199,0.06556836902800658
2020,2973,CC BY,171,0.05751765893037336
2020,2973,CC BY-SA,0,0
2020,2973,CC BY-NC,3,0.0010090817356205853
2020,2973,CC BY-NC-SA,0,0
2020,2973,CC BY-ND,0,0
2020,2973,CC BY-NC-ND,253,0.08509922637066936
2021,2988,CC BY,213,0.071285140562249
2021,2988,CC BY-SA,0,0
2021,2988,CC BY-NC,8,0.002677376171352075
2021,2988,CC BY-NC-SA,1,3.3467202141900936e-4
2021,2988,CC BY-ND,0,0
2021,2988,CC BY-NC-ND,437,0.14625167336010708
2022,2756,CC BY,265,0.09615384615384616
2022,2756,CC BY-SA,0,0
2022,2756,CC BY-NC,11,0.0039912917271407835
2022,2756,CC BY-NC-SA,0,0
2022,2756,CC BY-ND,0,0
2022,2756,CC BY-NC-ND,361,0.13098693759071117
2023,2519,CC BY,307,0.12187375942834458
2023,2519,CC BY-SA,0,0
2023,2519,CC BY-NC,13,0.005160778086542279
2023,2519,CC BY-NC-SA,0,0
2023,2519,CC BY-ND,1,3.969829297340214e-4
2023,2519,CC BY-NC-ND,346,0.13735609368797141
2024,2845,CC BY,1027,0.3609841827768014
2024,2845,CC BY-SA,0,0
2024,2845,CC BY-NC,38,0.01335676625659051
2024,2845,CC BY-NC-SA,0,0
2024,2845,CC BY-ND,0,0
2024,2845,CC BY-NC-ND,544,0.19121265377855887
2025,3034,CC BY,1291,0.4255108767303889
2025,3034,CC BY-SA,0,0
2025,3034,CC BY-NC,38,0.012524719841793012
2025,3034,CC BY-NC-SA,0,0
2025,3034,CC BY-ND,0,0
2025,3034,CC BY-NC-ND,617,0.2033618984838497
2026,1520,CC BY,658,0.4328947368421053
2026,1520,CC BY-SA,0,0
2026,1520,CC BY-NC,24,0.015789473684210527
2026,1520,CC BY-NC-SA,1,6.578947368421052e-4
2026,1520,CC BY-ND,0,0
2026,1520,CC BY-NC-ND,259,0.17039473684210527
