cr_year,cc,cc_total,jn_all,prop
2017,CC BY,1092,131388,0.008311261302402046
2017,CC BY-SA,0,NA,0
2017,CC BY-NC,57,131388,4.3382957347702986e-4
2017,CC BY-NC-SA,1,131388,7.6110451487198225e-6
2017,CC BY-ND,0,NA,0
2017,CC BY-NC-ND,2883,131388,0.021942643163759247
2018,CC BY,1213,124425,0.009748844685553546
2018,CC BY-SA,0,NA,0
2018,CC BY-NC,41,124425,3.295157725537472e-4
2018,CC BY-NC-SA,1,124425,8.036970062286518e-6
2018,CC BY-ND,0,NA,0
2018,CC BY-NC-ND,1579,124425,0.012690375728350411
2019,CC BY,1646,136861,0.012026800914796765
2019,CC BY-SA,0,NA,0
2019,CC BY-NC,67,136861,4.895477893629303e-4
2019,CC BY-NC-SA,6,136861,4.384010053996391e-5
2019,CC BY-ND,0,NA,0
2019,CC BY-NC-ND,4830,136861,0.035291280934670946
2020,CC BY,2001,139013,0.014394337220259975
2020,CC BY-SA,0,NA,0
2020,CC BY-NC,161,139013,0.0011581650636990784
2020,CC BY-NC-SA,5,139013,3.59678591210894e-5
2020,CC BY-ND,1,139013,7.193571824217879e-6
2020,CC BY-NC-ND,6283,139013,0.045197211771560934
2021,CC BY,3581,137574,0.026029627691278874
2021,CC BY-SA,0,NA,0
2021,CC BY-NC,238,137574,0.001729978048177708
2021,CC BY-NC-SA,4,137574,2.907526131391106e-5
2021,CC BY-ND,0,NA,0
2021,CC BY-NC-ND,11915,137574,0.08660793463881257
2022,CC BY,4574,125909,0.036327824063410875
2022,CC BY-SA,0,NA,0
2022,CC BY-NC,338,125909,0.0026844784725476335
2022,CC BY-NC-SA,11,125909,8.736468401782239e-5
2022,CC BY-ND,1,125909,7.942244001620218e-6
2022,CC BY-NC-ND,11999,125909,0.09529898577544099
2023,CC BY,3666,59871,0.06123164804329308
2023,CC BY-SA,0,NA,0
2023,CC BY-NC,393,59871,0.006564112842611615
2023,CC BY-NC-SA,2,59871,3.3405154415326286e-5
2023,CC BY-ND,1,59871,1.6702577207663143e-5
2023,CC BY-NC-ND,5571,59871,0.09305005762389136
