country_name_fct,cr_year,articles,cc_total,prop
United States,'17,29125,422,0.014489270386266094
United States,'18,26925,204,0.007576601671309192
United States,'19,28927,535,0.018494831818024682
United States,'20,28616,709,0.024776348895722673
United States,'21,27463,1282,0.046680988966973744
United States,'22,24046,1417,0.05892871995342261
United States,'23,17578,1317,0.07492319945386278
China,'17,10859,72,0.006630444792338153
China,'18,11430,57,0.0049868766404199474
China,'19,13953,102,0.007310255858955063
China,'20,14519,195,0.013430677043873546
China,'21,14156,391,0.027620796835264198
China,'22,15020,501,0.033355525965379496
China,'23,11660,658,0.05643224699828473
United Kingdom,'17,11726,810,0.06907726419921542
United Kingdom,'18,10789,548,0.050792473815923625
United Kingdom,'19,11576,787,0.06798548721492743
United Kingdom,'20,11199,990,0.08840075006697026
United Kingdom,'21,10650,4457,0.41849765258215965
United Kingdom,'22,9458,4998,0.5284415309790653
United Kingdom,'23,6959,3844,0.5523782152608133
India,'17,4464,14,0.0031362007168458782
India,'18,4528,6,0.001325088339222615
India,'19,5527,14,0.0025330197213678306
India,'20,6092,21,0.003447143795141169
India,'21,6665,36,0.005401350337584396
India,'22,6797,58,0.008533176401353539
India,'23,5613,68,0.012114733654017459
Australia,'17,6156,99,0.01608187134502924
Australia,'18,5694,60,0.01053740779768177
Australia,'19,6005,148,0.024646128226477933
Australia,'20,6067,235,0.03873413548706115
Australia,'21,5885,295,0.05012744265080714
Australia,'22,5283,507,0.09596819988642817
Australia,'23,3825,1935,0.5058823529411764
Canada,'17,4297,89,0.020712124738189435
Canada,'18,4051,33,0.008146136756356455
Canada,'19,4420,134,0.030316742081447964
Canada,'20,4283,146,0.03408825589540042
Canada,'21,4323,321,0.07425399028452463
Canada,'22,3801,333,0.08760852407261246
Canada,'23,2851,306,0.10733076113644335
Norway,'17,3512,131,0.0373006833712984
Norway,'18,3400,82,0.02411764705882353
Norway,'19,3427,250,0.07295010213014298
Norway,'20,3504,744,0.21232876712328766
Norway,'21,3389,897,0.2646798465624078
Norway,'22,3025,1012,0.33454545454545453
Norway,'23,2176,822,0.37775735294117646
Iran,'17,2766,12,0.004338394793926247
Iran,'18,2720,5,0.001838235294117647
Iran,'19,3200,6,0.001875
Iran,'20,3502,9,0.002569960022844089
Iran,'21,3219,18,0.005591798695246971
Iran,'22,2885,39,0.013518197573656845
Iran,'23,1911,29,0.015175300889586603
Germany,'17,2956,175,0.059201623815967525
Germany,'18,2798,173,0.06182987848463188
Germany,'19,3039,347,0.11418229680816058
Germany,'20,3028,434,0.14332892998678995
Germany,'21,3024,678,0.22420634920634921
Germany,'22,2754,660,0.23965141612200436
Germany,'23,2010,506,0.2517412935323383
Italy,'17,2941,44,0.014960897653859231
Italy,'18,2690,32,0.011895910780669145
Italy,'19,2988,83,0.027777777777777776
Italy,'20,3116,94,0.030166880616174584
Italy,'21,2811,186,0.06616862326574173
Italy,'22,2523,234,0.09274673008323424
Italy,'23,1898,269,0.1417281348788198
Turkey,'17,1996,5,0.00250501002004008
Turkey,'18,1939,3,0.0015471892728210418
Turkey,'19,2401,6,0.0024989587671803417
Turkey,'20,2844,13,0.004571026722925457
Turkey,'21,3107,21,0.0067589314451239136
Turkey,'22,3003,38,0.012654012654012654
Turkey,'23,2225,42,0.01887640449438202
Japan,'17,2561,73,0.028504490433424443
Japan,'18,2136,38,0.017790262172284643
Japan,'19,2498,123,0.04923939151321057
Japan,'20,2513,181,0.07202546756864306
Japan,'21,2468,285,0.11547811993517018
Japan,'22,2274,315,0.13852242744063326
Japan,'23,1565,239,0.15271565495207667
Spain,'17,2208,36,0.016304347826086956
Spain,'18,2119,17,0.008022652194431336
Spain,'19,2391,70,0.029276453366792136
Spain,'20,2381,92,0.03863922721545569
Spain,'21,2470,201,0.08137651821862348
Spain,'22,2229,212,0.09510991475998205
Spain,'23,1595,200,0.12539184952978055
Brazil,'17,1818,6,0.0033003300330033004
Brazil,'18,1744,5,0.0028669724770642203
Brazil,'19,2093,14,0.006688963210702341
Brazil,'20,2425,24,0.009896907216494845
Brazil,'21,2636,29,0.011001517450682853
Brazil,'22,2141,37,0.017281644091546006
Brazil,'23,1464,47,0.03210382513661202
Netherlands,'17,1950,1124,0.5764102564102564
Netherlands,'18,1910,488,0.2554973821989529
Netherlands,'19,2044,1385,0.6775929549902152
Netherlands,'20,2018,1424,0.7056491575817642
Netherlands,'21,1909,1420,0.7438449449973809
Netherlands,'22,1864,1407,0.7548283261802575
Netherlands,'23,1440,1060,0.7361111111111112
South Africa,'17,1991,33,0.016574585635359115
South Africa,'18,1919,24,0.012506513809275664
South Africa,'19,2091,46,0.021999043519846963
South Africa,'20,2125,71,0.033411764705882356
South Africa,'21,2047,134,0.06546165119687347
South Africa,'22,1731,158,0.09127671865973426
South Africa,'23,1170,103,0.08803418803418804
Sweden,'17,1890,142,0.07513227513227513
Sweden,'18,1770,573,0.32372881355932204
Sweden,'19,1861,1392,0.7479849543256314
Sweden,'20,1863,1501,0.8056897477187333
Sweden,'21,1868,1556,0.8329764453961456
Sweden,'22,1752,1489,0.8498858447488584
Sweden,'23,1325,1110,0.8377358490566038
France,'17,1772,32,0.01805869074492099
France,'18,1687,20,0.011855364552459988
France,'19,1868,41,0.021948608137044967
France,'20,1812,56,0.03090507726269316
France,'21,1789,104,0.05813303521520403
France,'22,1576,119,0.07550761421319797
France,'23,1199,114,0.0950792326939116
South Korea,'17,1896,16,0.008438818565400843
South Korea,'18,1602,3,0.0018726591760299626
South Korea,'19,1724,17,0.009860788863109048
South Korea,'20,1596,35,0.021929824561403508
South Korea,'21,1486,46,0.03095558546433378
South Korea,'22,1385,54,0.03898916967509025
South Korea,'23,1003,62,0.06181455633100698
New Zealand,'17,1204,11,0.009136212624584718
New Zealand,'18,1049,3,0.002859866539561487
New Zealand,'19,1063,39,0.036688617121354655
New Zealand,'20,1092,33,0.03021978021978022
New Zealand,'21,1083,63,0.05817174515235457
New Zealand,'22,984,95,0.09654471544715447
New Zealand,'23,672,391,0.5818452380952381
Other,'17,21288,577,0.027104472003006388
Other,'18,20481,404,0.019725599335969922
Other,'19,23368,989,0.04232283464566929
