cr_year,cat,article_total,name,oa_articles,oa_share
2017,Germany,2911,Crossref,188,0.06458261765716249
2017,Germany,2911,Unpaywall,141,0.04843696324287187
2018,Germany,2789,Crossref,176,0.06310505557547508
2018,Germany,2789,Unpaywall,210,0.07529580494801004
2019,Germany,3021,Crossref,346,0.1145316120489904
2019,Germany,3021,Unpaywall,272,0.09003641178417743
2020,Germany,2959,Crossref,422,0.14261574856370396
2020,Germany,2959,Unpaywall,264,0.08921933085501858
2021,Germany,2978,Crossref,657,0.2206178643384822
2021,Germany,2978,Unpaywall,298,0.10006715916722633
2022,Germany,2737,Crossref,635,0.2320058458165875
2022,Germany,2737,Unpaywall,419,0.15308732188527585
2023,Germany,2506,Crossref,671,0.26775738228252194
2023,Germany,2506,Unpaywall,593,0.23663208300079808
2024,Germany,2842,Crossref,1601,0.5633356790992259
2024,Germany,2842,Unpaywall,1046,0.3680506685432794
2025,Germany,2986,Crossref,1894,0.6342933690555927
2025,Germany,2986,Unpaywall,1272,0.42598794373744137
2026,Germany,437,Crossref,265,0.6064073226544623
2026,Germany,437,Unpaywall,177,0.40503432494279173
