cr_year,cat,article_total,name,oa_articles,oa_share
2017,Global,129837,Crossref,4096,0.031547247702889004
2017,Global,129837,Unpaywall,4356,0.033549758543404425
2018,Global,123206,Crossref,2977,0.024162784279986364
2018,Global,123206,Unpaywall,3239,0.026289304092333165
2019,Global,134955,Crossref,6505,0.04820125226927494
2019,Global,134955,Unpaywall,6537,0.04843836834500389
2020,Global,136727,Crossref,8196,0.059944268505854735
2020,Global,136727,Unpaywall,8708,0.06368895682637665
2021,Global,135475,Crossref,15366,0.11342314080088577
2021,Global,135475,Unpaywall,15393,0.11362243956449529
2022,Global,125007,Crossref,16675,0.13339253001831897
2022,Global,125007,Unpaywall,16482,0.13184861647747725
2023,Global,120779,Crossref,20959,0.17353182258505204
2023,Global,120779,Unpaywall,21752,0.1800975335116204
2024,Global,126520,Crossref,27041,0.2137290546949099
2024,Global,126520,Unpaywall,27693,0.21888239013594687
2025,Global,32215,Crossref,6663,0.20682911687102282
2025,Global,32215,Unpaywall,6293,0.19534378395157534
