esac_publisher,cat,name,2017,2018,2019,2020,2021,2022,2023,2024
Taylor and Francis,Germany,TDM Support,0.9719101123595506,0.7885714285714286,0.44314868804664725,0.04805491990846682,0.047267355982274745,0.0364741641337386,0.019756838905775075,0
Taylor and Francis,Germany,ORCID,0.33146067415730335,0.4114285714285714,0.4868804664723032,0.6109839816933639,0.7134416543574594,0.7659574468085106,0.7340425531914894,0.6078431372549019
Taylor and Francis,Germany,Funder info,0.5168539325842697,0.5771428571428572,0.3206997084548105,0.41189931350114417,0.5450516986706057,0.5501519756838906,0.5440729483282675,0.5947712418300654
Taylor and Francis,Germany,Open Abstracts,0.0056179775280898875,0.005714285714285714,0.04081632653061224,0.057208237986270026,0.053175775480059084,0.060790273556231005,0.04711246200607903,0
Taylor and Francis,Germany,Open Citations,0.949438202247191,0.9314285714285714,0.9446064139941691,0.9496567505720824,0.9630723781388478,0.9635258358662614,0.9680851063829787,0.9477124183006536
Taylor and Francis,Global,TDM Support,0.9731963927855711,0.6822331460674157,0.493992606284658,0.041899773836448044,0.032607311170551524,0.0403347669417645,0.026312046650547576,0.023923444976076555
Taylor and Francis,Global,ORCID,0.31312625250501,0.5024578651685393,0.5386629698089956,0.6264730389239376,0.676792765252834,0.7167267232360804,0.6837339401697246,0.640303968477343
Taylor and Francis,Global,Funder info,0.5365731462925851,0.6106039325842697,0.3853974121996303,0.41352219973812643,0.4515348363265826,0.4941299546669766,0.4766984307590196,0.47678018575851394
Taylor and Francis,Global,Open Abstracts,0.018286573146292586,0.04037921348314607,0.027110289587184228,0.04844661349839305,0.04521716978728824,0.05701499476926653,0.05224482055658275,0.05544610188573037
Taylor and Francis,Global,Open Citations,0.9423847695390781,0.949438202247191,0.9493222427603204,0.9494107844304249,0.9373965099987263,0.9338602812972219,0.9381311335514152,0.9462426118772868
