cr_year,jn_all,cc,cc_total,prop
2017,129,CC BY,0,0
2017,129,CC BY-SA,0,0
2017,129,CC BY-NC,0,0
2017,129,CC BY-NC-SA,0,0
2017,129,CC BY-ND,0,0
2017,129,CC BY-NC-ND,0,0
2018,150,CC BY,0,0
2018,150,CC BY-SA,0,0
2018,150,CC BY-NC,0,0
2018,150,CC BY-NC-SA,0,0
2018,150,CC BY-ND,0,0
2018,150,CC BY-NC-ND,0,0
2019,124,CC BY,0,0
2019,124,CC BY-SA,0,0
2019,124,CC BY-NC,0,0
2019,124,CC BY-NC-SA,0,0
2019,124,CC BY-ND,0,0
2019,124,CC BY-NC-ND,0,0
2020,186,CC BY,54,0.2903225806451613
2020,186,CC BY-SA,0,0
2020,186,CC BY-NC,0,0
2020,186,CC BY-NC-SA,0,0
2020,186,CC BY-ND,0,0
2020,186,CC BY-NC-ND,0,0
2021,168,CC BY,4,0.023809523809523808
2021,168,CC BY-SA,0,0
2021,168,CC BY-NC,0,0
2021,168,CC BY-NC-SA,0,0
2021,168,CC BY-ND,0,0
2021,168,CC BY-NC-ND,0,0
2022,167,CC BY,0,0
2022,167,CC BY-SA,0,0
2022,167,CC BY-NC,0,0
2022,167,CC BY-NC-SA,0,0
2022,167,CC BY-ND,0,0
2022,167,CC BY-NC-ND,0,0
2023,69,CC BY,0,0
2023,69,CC BY-SA,0,0
2023,69,CC BY-NC,0,0
2023,69,CC BY-NC-SA,0,0
2023,69,CC BY-ND,0,0
2023,69,CC BY-NC-ND,0,0
