cr_year,cat,article_total,name,oa_articles,oa_share
2017,Germany,129,Crossref,0,0
2017,Germany,129,Unpaywall,24,0.18604651162790697
2018,Germany,152,Crossref,0,0
2018,Germany,152,Unpaywall,38,0.25
2019,Germany,124,Crossref,0,0
2019,Germany,124,Unpaywall,23,0.18548387096774194
2020,Germany,187,Crossref,54,0.2887700534759358
2020,Germany,187,Unpaywall,75,0.40106951871657753
2021,Germany,169,Crossref,4,0.023668639053254437
2021,Germany,169,Unpaywall,78,0.46153846153846156
2022,Germany,166,Crossref,0,0
2022,Germany,166,Unpaywall,102,0.6144578313253012
2023,Germany,144,Crossref,0,0
2023,Germany,144,Unpaywall,54,0.375
