esac_publisher,cat,name,2017,2018,2019,2020,2021,2022,2023,2024,2025
The Royal Society,Germany,TDM Support,1,1,NA,1,1,1,1,1,1
The Royal Society,Germany,ORCID,1,1,NA,1,1,0,0.9629629629629629,0.9736842105263158,0.9866666666666667
The Royal Society,Germany,Funder info,0.5,1,NA,0.8518518518518519,1,1,0.9259259259259259,0.8333333333333334,0.8
The Royal Society,Germany,Open Abstracts,1,1,NA,1,1,1,1,0.9649122807017544,0.9466666666666667
The Royal Society,Germany,Open Citations,1,1,NA,1,1,0,0.9629629629629629,0.9824561403508771,0.9866666666666667
The Royal Society,Global,TDM Support,1,1,NA,1,1,1,1,1,1
The Royal Society,Global,ORCID,0.9565217391304348,1,NA,0.9955357142857143,0.9838709677419355,0,0.9468599033816425,0.9735945485519591,0.9753086419753086
The Royal Society,Global,Funder info,0.8695652173913043,0.918918918918919,NA,0.8616071428571429,0.9032258064516129,0.75,0.7439613526570048,0.7955706984667802,0.7716049382716049
The Royal Society,Global,Open Abstracts,0.8260869565217391,1,NA,0.9977678571428571,1,1,0.9565217391304348,0.9505962521294719,0.9521604938271605
The Royal Society,Global,Open Citations,1,1,NA,0.9977678571428571,1,0,0.9420289855072463,0.969335604770017,0.9768518518518519
