cr_year,jn_all,cc,cc_total,prop
2017,3182,CC BY,26,0.008170961659333752
2017,3182,CC BY-SA,0,0
2017,3182,CC BY-NC,0,0
2017,3182,CC BY-NC-SA,1,3.1426775612822125e-4
2017,3182,CC BY-ND,0,0
2017,3182,CC BY-NC-ND,15,0.004714016341923318
2018,5629,CC BY,1015,0.18031621957718955
2018,5629,CC BY-SA,0,0
2018,5629,CC BY-NC,0,0
2018,5629,CC BY-NC-SA,0,0
2018,5629,CC BY-ND,0,0
2018,5629,CC BY-NC-ND,18,0.003197726061467401
2019,4847,CC BY,15,0.0030946977511863006
2019,4847,CC BY-SA,0,0
2019,4847,CC BY-NC,0,0
2019,4847,CC BY-NC-SA,0,0
2019,4847,CC BY-ND,0,0
2019,4847,CC BY-NC-ND,1022,0.2108520734474933
2020,4808,CC BY,0,0
2020,4808,CC BY-SA,0,0
2020,4808,CC BY-NC,0,0
2020,4808,CC BY-NC-SA,0,0
2020,4808,CC BY-ND,0,0
2020,4808,CC BY-NC-ND,1131,0.23523294509151416
2021,3773,CC BY,3,7.951232441028359e-4
2021,3773,CC BY-SA,0,0
2021,3773,CC BY-NC,0,0
2021,3773,CC BY-NC-SA,0,0
2021,3773,CC BY-ND,0,0
2021,3773,CC BY-NC-ND,953,0.2525841505433342
2022,3587,CC BY,6,0.0016727069974909396
2022,3587,CC BY-SA,0,0
2022,3587,CC BY-NC,0,0
2022,3587,CC BY-NC-SA,0,0
2022,3587,CC BY-ND,0,0
2022,3587,CC BY-NC-ND,149,0.04153889043769166
2023,3073,CC BY,11,0.0035795639440286365
2023,3073,CC BY-SA,0,0
2023,3073,CC BY-NC,0,0
2023,3073,CC BY-NC-SA,0,0
2023,3073,CC BY-ND,0,0
2023,3073,CC BY-NC-ND,155,0.050439310120403515
2024,3707,CC BY,12,0.0032371189641219314
2024,3707,CC BY-SA,0,0
2024,3707,CC BY-NC,0,0
2024,3707,CC BY-NC-SA,0,0
2024,3707,CC BY-ND,0,0
2024,3707,CC BY-NC-ND,167,0.045049905584030214
2025,3663,CC BY,99,0.02702702702702703
2025,3663,CC BY-SA,0,0
2025,3663,CC BY-NC,0,0
2025,3663,CC BY-NC-SA,0,0
2025,3663,CC BY-ND,0,0
2025,3663,CC BY-NC-ND,126,0.0343980343980344
2026,2274,CC BY,59,0.025945470536499562
2026,2274,CC BY-SA,0,0
2026,2274,CC BY-NC,0,0
2026,2274,CC BY-NC-SA,0,0
2026,2274,CC BY-ND,0,0
2026,2274,CC BY-NC-ND,42,0.018469656992084433
