cr_year,cc,cc_total,jn_all,prop
2017,CC BY,42,13478,0.0031161893456002373
2017,CC BY-SA,0,NA,0
2017,CC BY-NC,0,NA,0
2017,CC BY-NC-SA,1,13478,7.419498441905327e-5
2017,CC BY-ND,0,NA,0
2017,CC BY-NC-ND,41,13478,0.003041994361181184
2018,CC BY,83,13123,0.006324773298788387
2018,CC BY-SA,0,NA,0
2018,CC BY-NC,0,NA,0
2018,CC BY-NC-SA,0,NA,0
2018,CC BY-ND,0,NA,0
2018,CC BY-NC-ND,38,13123,0.00289567934161396
2019,CC BY,34,12108,0.0028080607862570202
2019,CC BY-SA,0,NA,0
2019,CC BY-NC,1,12108,8.259002312520647e-5
2019,CC BY-NC-SA,0,NA,0
2019,CC BY-ND,0,NA,0
2019,CC BY-NC-ND,131,12108,0.010819293029402047
2020,CC BY,11,12709,8.655283657250767e-4
2020,CC BY-SA,0,NA,0
2020,CC BY-NC,0,NA,0
2020,CC BY-NC-SA,0,NA,0
2020,CC BY-ND,0,NA,0
2020,CC BY-NC-ND,173,12709,0.013612400660948935
2021,CC BY,20,12124,0.001649620587264929
2021,CC BY-SA,0,NA,0
2021,CC BY-NC,1,12124,8.248102936324645e-5
2021,CC BY-NC-SA,0,NA,0
2021,CC BY-ND,0,NA,0
2021,CC BY-NC-ND,254,12124,0.020950181458264598
2022,CC BY,32,11111,0.0028800288002880027
2022,CC BY-SA,0,NA,0
2022,CC BY-NC,0,NA,0
2022,CC BY-NC-SA,0,NA,0
2022,CC BY-ND,0,NA,0
2022,CC BY-NC-ND,338,11111,0.03042030420304203
2023,CC BY,73,10816,0.006749260355029586
2023,CC BY-SA,0,NA,0
2023,CC BY-NC,0,NA,0
2023,CC BY-NC-SA,0,NA,0
2023,CC BY-ND,0,NA,0
2023,CC BY-NC-ND,360,10816,0.03328402366863906
2024,CC BY,36,4590,0.00784313725490196
2024,CC BY-SA,0,NA,0
2024,CC BY-NC,0,NA,0
2024,CC BY-NC-SA,0,NA,0
2024,CC BY-ND,0,NA,0
2024,CC BY-NC-ND,161,4590,0.035076252723311545
