country_name_fct,cr_year,articles,cc_total,prop
Germany,'17,2192,41,0.018704379562043797
Germany,'18,2664,62,0.023273273273273273
Germany,'19,1788,93,0.05201342281879195
Germany,'20,1925,98,0.05090909090909091
Germany,'21,1934,116,0.05997931747673216
Germany,'22,1603,148,0.09232688708671241
Germany,'23,1312,137,0.10442073170731707
United States,'17,1129,7,0.006200177147918512
United States,'18,1239,8,0.00645682001614205
United States,'19,1277,14,0.01096319498825372
United States,'20,1265,11,0.008695652173913044
United States,'21,1211,29,0.023947151114781174
United States,'22,1065,35,0.03286384976525822
United States,'23,1010,47,0.046534653465346534
China,'17,416,0,0
China,'18,415,2,0.004819277108433735
China,'19,397,4,0.010075566750629723
China,'20,455,4,0.008791208791208791
China,'21,390,18,0.046153846153846156
China,'22,452,37,0.08185840707964602
China,'23,405,45,0.1111111111111111
Japan,'17,250,0,0
Japan,'18,229,2,0.008733624454148471
Japan,'19,238,3,0.012605042016806723
Japan,'20,256,5,0.01953125
Japan,'21,256,13,0.05078125
Japan,'22,193,16,0.08290155440414508
Japan,'23,151,9,0.059602649006622516
Italy,'17,169,1,0.005917159763313609
Italy,'18,164,2,0.012195121951219513
Italy,'19,185,2,0.010810810810810811
Italy,'20,208,2,0.009615384615384616
Italy,'21,195,6,0.03076923076923077
Italy,'22,133,4,0.03007518796992481
Italy,'23,118,2,0.01694915254237288
Switzerland,'17,235,4,0.01702127659574468
Switzerland,'18,160,2,0.0125
Switzerland,'19,183,8,0.04371584699453552
Switzerland,'20,142,5,0.035211267605633804
Switzerland,'21,152,13,0.08552631578947369
Switzerland,'22,131,17,0.1297709923664122
Switzerland,'23,144,17,0.11805555555555555
United Kingdom,'17,179,6,0.0335195530726257
United Kingdom,'18,166,8,0.04819277108433735
United Kingdom,'19,153,8,0.05228758169934641
United Kingdom,'20,182,14,0.07692307692307693
United Kingdom,'21,156,13,0.08333333333333333
United Kingdom,'22,140,13,0.09285714285714286
United Kingdom,'23,99,9,0.09090909090909091
India,'17,171,0,0
India,'18,125,0,0
India,'19,105,0,0
India,'20,156,0,0
India,'21,126,1,0.007936507936507936
India,'22,154,1,0.006493506493506494
India,'23,181,1,0.0055248618784530384
France,'17,134,0,0
France,'18,155,1,0.0064516129032258064
France,'19,114,0,0
France,'20,140,2,0.014285714285714285
France,'21,104,5,0.04807692307692308
France,'22,88,3,0.03409090909090909
France,'23,76,4,0.05263157894736842
Turkey,'17,52,1,0.019230769230769232
Turkey,'18,70,8,0.11428571428571428
Turkey,'19,86,9,0.10465116279069768
Turkey,'20,112,1,0.008928571428571428
Turkey,'21,157,1,0.006369426751592357
Turkey,'22,143,3,0.02097902097902098
Turkey,'23,134,0,0
Austria,'17,208,3,0.014423076923076924
Austria,'18,121,6,0.049586776859504134
Austria,'19,90,8,0.08888888888888889
Austria,'20,88,6,0.06818181818181818
Austria,'21,92,10,0.10869565217391304
Austria,'22,81,17,0.20987654320987653
Austria,'23,66,11,0.16666666666666666
Canada,'17,119,0,0
Canada,'18,104,1,0.009615384615384616
Canada,'19,94,0,0
Canada,'20,82,5,0.06097560975609756
Canada,'21,84,4,0.047619047619047616
Canada,'22,75,4,0.05333333333333334
Canada,'23,79,5,0.06329113924050633
Netherlands,'17,104,0,0
Netherlands,'18,101,0,0
Netherlands,'19,81,1,0.012345679012345678
Netherlands,'20,124,4,0.03225806451612903
Netherlands,'21,80,4,0.05
Netherlands,'22,71,21,0.29577464788732394
Netherlands,'23,71,34,0.4788732394366197
Spain,'17,80,1,0.0125
Spain,'18,78,1,0.01282051282051282
Spain,'19,84,0,0
Spain,'20,117,2,0.017094017094017096
Spain,'21,109,1,0.009174311926605505
Spain,'22,84,7,0.08333333333333333
Spain,'23,71,3,0.04225352112676056
Brazil,'17,107,0,0
Brazil,'18,78,0,0
Brazil,'19,79,2,0.02531645569620253
Brazil,'20,110,1,0.00909090909090909
Brazil,'21,88,1,0.011363636363636364
Brazil,'22,47,1,0.02127659574468085
Brazil,'23,48,1,0.020833333333333332
Australia,'17,61,0,0
Australia,'18,85,1,0.011764705882352941
Australia,'19,74,1,0.013513513513513514
Australia,'20,86,0,0
Australia,'21,72,1,0.013888888888888888
Australia,'22,79,3,0.0379746835443038
Australia,'23,77,2,0.025974025974025976
South Korea,'17,59,0,0
South Korea,'18,92,1,0.010869565217391304
South Korea,'19,76,0,0
South Korea,'20,88,0,0
South Korea,'21,47,0,0
South Korea,'22,51,2,0.0392156862745098
South Korea,'23,50,3,0.06
Iran,'17,105,0,0
Iran,'18,81,1,0.012345679012345678
Iran,'19,56,1,0.017857142857142856
Iran,'20,64,1,0.015625
Iran,'21,47,1,0.02127659574468085
Iran,'22,42,1,0.023809523809523808
Iran,'23,23,0,0
Belgium,'17,32,0,0
Belgium,'18,31,0,0
Belgium,'19,44,0,0
Belgium,'20,48,0,0
Belgium,'21,62,1,0.016129032258064516
Belgium,'22,36,1,0.027777777777777776
Belgium,'23,34,2,0.058823529411764705
Poland,'17,47,1,0.02127659574468085
Poland,'18,57,0,0
Poland,'19,30,1,0.03333333333333333
Poland,'20,39,0,0
Poland,'21,47,1,0.02127659574468085
Poland,'22,27,3,0.1111111111111111
Poland,'23,22,3,0.13636363636363635
Other,'17,583,5,0.008576329331046312
Other,'18,629,5,0.00794912559618442
Other,'19,502,9,0.017928286852589643
Other,'20,709,15,0.021156558533145273
Other,'21,571,15,0.02626970227670753
Other,'22,495,23,0.046464646464646465
Other,'23,373,32,0.08579088471849866
