cr_year,cat,article_total,name,oa_articles,oa_share
2017,Germany,2196,Crossref,43,0.019581056466302368
2017,Germany,2196,Unpaywall,57,0.025956284153005466
2018,Germany,2665,Crossref,63,0.023639774859287054
2018,Germany,2665,Unpaywall,66,0.02476547842401501
2019,Germany,1795,Crossref,93,0.05181058495821727
2019,Germany,1795,Unpaywall,97,0.05403899721448468
2020,Germany,1929,Crossref,99,0.05132192846034215
2020,Germany,1929,Unpaywall,99,0.05132192846034215
2021,Germany,1933,Crossref,117,0.060527677185721676
2021,Germany,1933,Unpaywall,118,0.061045007759958615
2022,Germany,1602,Crossref,150,0.09363295880149813
2022,Germany,1602,Unpaywall,155,0.09675405742821473
2023,Germany,1468,Crossref,153,0.10422343324250681
2023,Germany,1468,Unpaywall,158,0.10762942779291552
2024,Germany,361,Crossref,39,0.10803324099722991
2024,Germany,361,Unpaywall,40,0.11080332409972299
