cr_year,cat,article_total,name,oa_articles,oa_share
2017,Global,13510,Crossref,84,0.0062176165803108805
2017,Global,13510,Unpaywall,110,0.008142116950407105
2018,Global,13148,Crossref,121,0.009202920596288409
2018,Global,13148,Unpaywall,172,0.013081837541831457
2019,Global,12143,Crossref,166,0.013670427406736392
2019,Global,12143,Unpaywall,213,0.017540970106234045
2020,Global,12761,Crossref,235,0.01841548467988402
2020,Global,12761,Unpaywall,236,0.018493848444479273
2021,Global,12172,Crossref,320,0.02628984554715741
2021,Global,12172,Unpaywall,321,0.02637200131449228
2022,Global,11267,Crossref,387,0.0343480962101713
2022,Global,11267,Unpaywall,392,0.03479187006301589
2023,Global,6462,Crossref,297,0.04596100278551532
2023,Global,6462,Unpaywall,228,0.035283194057567316
