cr_year,esac_publisher,collection,articles,oa_articles,oa_prop
2017,AIP Publishing,de,906,3,0.0033112582781456954
2017,Akadémiai Kiadó,de,7,0,0
2017,American Chemical Society,de,2517,2,7.945967421533572e-4
2017,American Meteorological Society,de,75,0,0
2017,American Physical Society,de,1774,41,0.023111612175873732
2017,American Physiological Society,de,96,0,0
2017,American Psychological Association,de,122,2,0.01639344262295082
2017,Association for Computing Machinery,de,219,0,0
2017,Bentham Science Publishers,de,96,1,0.010416666666666666
2017,Bioscientifica,de,26,7,0.2692307692307692
2017,BMJ Publishing,de,192,0,0
2017,Brill,de,273,4,0.014652014652014652
2017,Bristol University Press,de,9,0,0
2017,Cambridge University Press,de,529,21,0.03969754253308128
2017,Canadian Science Publishing,de,25,0,0
2017,Cold Spring Harbor Laboratory Press,de,34,0,0
2017,Company of Biologists,de,111,3,0.02702702702702703
2017,CSIRO,de,37,0,0
2017,EDP Sciences,de,451,20,0.04434589800443459
2017,Edward Elgar Publishing,de,0,0,NA
2017,Elsevier,de,16391,892,0.05442010859618083
2017,Emerald,de,225,0,0
2017,European Respiratory Society,de,43,0,0
2017,Future Science Group,de,73,0,0
2017,Hogrefe,de,285,8,0.028070175438596492
2017,IEEE,de,1041,11,0.010566762728146013
2017,Inter-Research Science Publisher,de,3,0,0
2017,IOP Publishing,de,1084,107,0.09870848708487084
2017,IOS Press,de,213,17,0.07981220657276995
2017,John Benjamins Publishing,de,84,0,0
2017,Karger,de,383,12,0.031331592689295036
2017,"Mary Ann Liebert, Inc.",de,155,0,0
2017,Microbiology Society,de,85,0,0
2017,National Academy of Sciences,de,185,13,0.07027027027027027
2017,Optica,de,128,0,0
2017,Oxford University Press,de,2807,124,0.0441752760954756
2017,Portland Press,de,32,4,0.125
2017,Radiological Society of North America,de,21,0,0
2017,Rockefeller University Press,de,55,4,0.07272727272727272
2017,Royal College of General Practitioners,de,2,0,0
2017,Royal Irish Academy,de,0,0,NA
2017,Royal Society of Chemistry,de,1437,125,0.08698677800974251
2017,Sage,de,1472,4,0.002717391304347826
2017,Society for Neuroscience,de,61,40,0.6557377049180327
2017,SPIE,de,46,0,0
2017,Springer Nature,de,16936,1086,0.06412376003778933
2017,Taylor and Francis,de,3081,185,0.06004543979227524
2017,The Electrochemical Society,de,218,0,0
2017,The Geological Society of London,de,12,1,0.08333333333333333
2017,The Royal Society,de,129,0,0
2017,Thieme,de,2155,44,0.020417633410672854
2017,Trans Tech Publications,de,219,26,0.1187214611872146
2017,Walter de Gruyter,de,2779,93,0.03346527527887729
2017,White Horse Press,de,0,0,NA
2017,Wiley,de,10787,536,0.049689440993788817
2017,Wolters Kluwer Health,de,1092,5,0.004578754578754579
2018,AIP Publishing,de,940,1,0.0010638297872340426
2018,Akadémiai Kiadó,de,8,0,0
2018,American Chemical Society,de,2609,5,0.0019164430816404753
