cr_year,jn_all,cc,cc_total,prop
2017,2839,CC BY,27,0.009510390982740402
2017,2839,CC BY-SA,0,0
2017,2839,CC BY-NC,0,0
2017,2839,CC BY-NC-SA,0,0
2017,2839,CC BY-ND,0,0
2017,2839,CC BY-NC-ND,73,0.02571327932370553
2018,3004,CC BY,37,0.012316910785619174
2018,3004,CC BY-SA,0,0
2018,3004,CC BY-NC,0,0
2018,3004,CC BY-NC-SA,0,0
2018,3004,CC BY-ND,0,0
2018,3004,CC BY-NC-ND,37,0.012316910785619174
2019,3193,CC BY,93,0.02912621359223301
2019,3193,CC BY-SA,0,0
2019,3193,CC BY-NC,0,0
2019,3193,CC BY-NC-SA,0,0
2019,3193,CC BY-ND,0,0
2019,3193,CC BY-NC-ND,87,0.027247103037895397
2020,3182,CC BY,184,0.05782526712759271
2020,3182,CC BY-SA,0,0
2020,3182,CC BY-NC,1,3.1426775612822125e-4
2020,3182,CC BY-NC-SA,0,0
2020,3182,CC BY-ND,0,0
2020,3182,CC BY-NC-ND,53,0.016656191074795726
2021,3375,CC BY,252,0.07466666666666667
2021,3375,CC BY-SA,0,0
2021,3375,CC BY-NC,0,0
2021,3375,CC BY-NC-SA,0,0
2021,3375,CC BY-ND,1,2.962962962962963e-4
2021,3375,CC BY-NC-ND,14,0.004148148148148148
2022,3141,CC BY,514,0.16364215218083414
2022,3141,CC BY-SA,0,0
2022,3141,CC BY-NC,0,0
2022,3141,CC BY-NC-SA,0,0
2022,3141,CC BY-ND,0,0
2022,3141,CC BY-NC-ND,65,0.020694046482012098
2023,2896,CC BY,635,0.21926795580110497
2023,2896,CC BY-SA,0,0
2023,2896,CC BY-NC,0,0
2023,2896,CC BY-NC-SA,0,0
2023,2896,CC BY-ND,0,0
2023,2896,CC BY-NC-ND,58,0.020027624309392266
2024,845,CC BY,186,0.22011834319526627
2024,845,CC BY-SA,0,0
2024,845,CC BY-NC,0,0
2024,845,CC BY-NC-SA,0,0
2024,845,CC BY-ND,0,0
2024,845,CC BY-NC-ND,7,0.008284023668639054
