cr_year,cc,cc_total,jn_all,prop
2017,CC BY,73,18734,0.0038966584819045587
2017,CC BY-SA,0,NA,0
2017,CC BY-NC,3,18734,1.6013664994128323e-4
2017,CC BY-NC-SA,0,NA,0
2017,CC BY-ND,0,NA,0
2017,CC BY-NC-ND,332,18734,0.017721789260168676
2018,CC BY,144,17819,0.00808126157472361
2018,CC BY-SA,0,NA,0
2018,CC BY-NC,2,17819,1.1223974409338346e-4
2018,CC BY-NC-SA,0,NA,0
2018,CC BY-ND,0,NA,0
2018,CC BY-NC-ND,272,17819,0.015264605196700151
2019,CC BY,283,19545,0.014479406497825531
2019,CC BY-SA,0,NA,0
2019,CC BY-NC,4,19545,2.0465592223074954e-4
2019,CC BY-NC-SA,0,NA,0
2019,CC BY-ND,1,19545,5.1163980557687386e-5
2019,CC BY-NC-ND,369,19545,0.018879508825786647
2020,CC BY,1096,19842,0.0552363673016833
2020,CC BY-SA,0,NA,0
2020,CC BY-NC,26,19842,0.0013103517790545307
2020,CC BY-NC-SA,0,NA,0
2020,CC BY-ND,1,19842,5.0398145348251183e-5
2020,CC BY-NC-ND,157,19842,0.007912508819675436
2021,CC BY,1227,19593,0.06262440667585362
2021,CC BY-SA,0,NA,0
2021,CC BY-NC,4,19593,2.0415454499055785e-4
2021,CC BY-NC-SA,0,NA,0
2021,CC BY-ND,1,19593,5.103863624763946e-5
2021,CC BY-NC-ND,46,19593,0.002347777267391415
2022,CC BY,1826,18656,0.09787735849056604
2022,CC BY-SA,12,18656,6.432246998284735e-4
2022,CC BY-NC,2,18656,1.072041166380789e-4
2022,CC BY-NC-SA,0,NA,0
2022,CC BY-ND,0,NA,0
2022,CC BY-NC-ND,169,18656,0.009058747855917667
2023,CC BY,488,5389,0.09055483392095008
2023,CC BY-SA,1,5389,1.8556318426424197e-4
2023,CC BY-NC,0,NA,0
2023,CC BY-NC-SA,0,NA,0
2023,CC BY-ND,0,NA,0
2023,CC BY-NC-ND,48,5389,0.008907032844683615
