country_name_fct,cr_year,articles,cc_total,prop
Germany,'17,2794,95,0.03400143163922691
Germany,'18,2967,74,0.02494101786316144
Germany,'19,3156,173,0.05481622306717364
Germany,'20,3125,230,0.0736
Germany,'21,3328,257,0.0772235576923077
Germany,'22,3129,564,0.18024928092042186
Germany,'23,2931,675,0.23029682702149437
Germany,'24,1325,294,0.2218867924528302
United States,'17,1200,19,0.015833333333333335
United States,'18,1194,46,0.038525963149078725
United States,'19,1143,57,0.049868766404199474
United States,'20,1279,79,0.0617670054730258
United States,'21,1198,166,0.13856427378964942
United States,'22,1103,189,0.17135086128739802
United States,'23,1032,201,0.19476744186046513
United States,'24,531,128,0.24105461393596986
China,'17,841,4,0.0047562425683709865
China,'18,883,6,0.006795016987542469
China,'19,894,13,0.0145413870246085
China,'20,1012,58,0.05731225296442688
China,'21,899,52,0.05784204671857619
China,'22,1052,31,0.029467680608365018
China,'23,1023,93,0.09090909090909091
China,'24,723,76,0.10511756569847856
India,'17,362,1,0.0027624309392265192
India,'18,449,2,0.004454342984409799
India,'19,419,5,0.011933174224343675
India,'20,537,29,0.054003724394785846
India,'21,635,2,0.0031496062992125984
India,'22,543,6,0.011049723756906077
India,'23,623,28,0.0449438202247191
India,'24,412,10,0.024271844660194174
Italy,'17,395,5,0.012658227848101266
Italy,'18,375,15,0.04
Italy,'19,372,6,0.016129032258064516
Italy,'20,449,104,0.23162583518930957
Italy,'21,387,117,0.3023255813953488
Italy,'22,420,154,0.36666666666666664
Italy,'23,423,89,0.21040189125295508
Italy,'24,192,55,0.2864583333333333
United Kingdom,'17,326,10,0.03067484662576687
United Kingdom,'18,332,20,0.060240963855421686
United Kingdom,'19,348,35,0.10057471264367816
United Kingdom,'20,367,49,0.1335149863760218
United Kingdom,'21,377,106,0.28116710875331563
United Kingdom,'22,344,124,0.36046511627906974
United Kingdom,'23,299,131,0.43812709030100333
United Kingdom,'24,188,99,0.526595744680851
Turkey,'17,186,0,0
Turkey,'18,214,2,0.009345794392523364
Turkey,'19,206,1,0.0048543689320388345
Turkey,'20,375,23,0.06133333333333333
Turkey,'21,264,14,0.05303030303030303
Turkey,'22,295,10,0.03389830508474576
Turkey,'23,267,2,0.00749063670411985
Turkey,'24,149,10,0.06711409395973154
Austria,'17,218,10,0.045871559633027525
Austria,'18,217,15,0.06912442396313365
Austria,'19,250,45,0.18
Austria,'20,274,110,0.40145985401459855
Austria,'21,262,65,0.2480916030534351
Austria,'22,239,107,0.4476987447698745
Austria,'23,211,109,0.5165876777251185
Austria,'24,102,47,0.46078431372549017
Iran,'17,227,0,0
Iran,'18,273,3,0.01098901098901099
Iran,'19,256,5,0.01953125
Iran,'20,268,13,0.048507462686567165
Iran,'21,248,1,0.004032258064516129
Iran,'22,223,3,0.013452914798206279
Iran,'23,151,5,0.033112582781456956
Iran,'24,88,4,0.045454545454545456
France,'17,267,3,0.011235955056179775
France,'18,276,6,0.021739130434782608
France,'19,243,6,0.024691358024691357
France,'20,219,9,0.0410958904109589
France,'21,224,14,0.0625
France,'22,196,12,0.061224489795918366
France,'23,202,28,0.13861386138613863
France,'24,98,15,0.15306122448979592
Switzerland,'17,234,6,0.02564102564102564
Switzerland,'18,195,4,0.020512820512820513
Switzerland,'19,221,14,0.06334841628959276
Switzerland,'20,282,17,0.06028368794326241
Switzerland,'21,241,26,0.1078838174273859
Switzerland,'22,233,60,0.2575107296137339
Switzerland,'23,209,90,0.430622009569378
Switzerland,'24,84,26,0.30952380952380953
Spain,'17,218,3,0.013761467889908258
Spain,'18,219,2,0.0091324200913242
Spain,'19,178,3,0.016853932584269662
Spain,'20,206,17,0.0825242718446602
Spain,'21,201,7,0.03482587064676617
Spain,'22,186,18,0.0967741935483871
Spain,'23,182,31,0.17032967032967034
Spain,'24,88,11,0.125
Russia,'17,231,3,0.012987012987012988
Russia,'18,203,4,0.019704433497536946
Russia,'19,230,1,0.004347826086956522
Russia,'20,241,7,0.029045643153526972
Russia,'21,189,5,0.026455026455026454
Russia,'22,155,3,0.01935483870967742
Russia,'23,123,1,0.008130081300813009
Russia,'24,62,1,0.016129032258064516
Canada,'17,212,3,0.014150943396226415
Canada,'18,218,8,0.03669724770642202
Canada,'19,191,5,0.02617801047120419
Canada,'20,190,11,0.05789473684210526
Canada,'21,196,8,0.04081632653061224
Canada,'22,163,7,0.04294478527607362
Canada,'23,164,14,0.08536585365853659
Canada,'24,73,9,0.1232876712328767
Poland,'17,152,2,0.013157894736842105
Poland,'18,176,3,0.017045454545454544
Poland,'19,179,6,0.0335195530726257
Poland,'20,182,11,0.06043956043956044
Poland,'21,168,16,0.09523809523809523
Poland,'22,143,22,0.15384615384615385
Poland,'23,174,22,0.12643678160919541
