cr_year,cat,article_total,name,oa_articles,oa_share
2017,Germany,2839,Crossref,100,0.03522367030644593
2017,Germany,2839,Unpaywall,50,0.017611835153222965
2018,Germany,3004,Crossref,74,0.02463382157123835
2018,Germany,3004,Unpaywall,48,0.015978695073235686
2019,Germany,3193,Crossref,180,0.05637331663012841
2019,Germany,3193,Unpaywall,101,0.031631694331349824
2020,Germany,3182,Crossref,238,0.07479572595851666
2020,Germany,3182,Unpaywall,181,0.056882463859208046
2021,Germany,3375,Crossref,267,0.0791111111111111
2021,Germany,3375,Unpaywall,259,0.07674074074074073
2022,Germany,3141,Crossref,579,0.18433619866284623
2022,Germany,3141,Unpaywall,551,0.17542184017828716
2023,Germany,2896,Crossref,693,0.23929558011049723
2023,Germany,2896,Unpaywall,627,0.21650552486187846
2024,Germany,845,Crossref,193,0.22840236686390533
2024,Germany,845,Unpaywall,203,0.24023668639053256
