cr_year,cat,article_total,name,oa_articles,oa_share
2017,Global,16741,Crossref,416,0.024849172689803477
2017,Global,16741,Unpaywall,679,0.04055910638552058
2018,Global,15951,Crossref,426,0.02670678954297536
2018,Global,15951,Unpaywall,821,0.05147012726474829
2019,Global,17808,Crossref,609,0.03419811320754717
2019,Global,17808,Unpaywall,826,0.046383647798742135
2020,Global,17827,Crossref,1124,0.06305042912436193
2020,Global,17827,Unpaywall,1464,0.082122622987603075
2021,Global,17863,Crossref,1120,0.06269943458545597
2021,Global,17863,Unpaywall,1360,0.07613502771091082
2022,Global,17217,Crossref,1764,0.10245687401986409
2022,Global,17217,Unpaywall,1941,0.112737410698728
2023,Global,16658,Crossref,2084,0.12510505462840676
2023,Global,16658,Unpaywall,2246,0.1348301116580622
2024,Global,16612,Crossref,2422,0.1457982181555502
2024,Global,16612,Unpaywall,2385,0.14357091259330604
2025,Global,16173,Crossref,3325,0.20558956285166635
2025,Global,16173,Unpaywall,3233,0.1999010696840413
2026,Global,7069,Crossref,1958,0.27698401471212336
2026,Global,7069,Unpaywall,1821,0.25760362144574905
