cr_year,jn_all,cc,cc_total,prop
2017,10490,CC BY,198,0.018875119161105815
2017,10490,CC BY-SA,0,0
2017,10490,CC BY-NC,129,0.012297426120114394
2017,10490,CC BY-NC-SA,0,0
2017,10490,CC BY-ND,0,0
2017,10490,CC BY-NC-ND,205,0.019542421353670163
2018,10855,CC BY,242,0.02229387379087978
2018,10855,CC BY-SA,1,9.212344541685859e-5
2018,10855,CC BY-NC,201,0.018516812528788576
2018,10855,CC BY-NC-SA,2,1.8424689083371717e-4
2018,10855,CC BY-ND,0,0
2018,10855,CC BY-NC-ND,246,0.022662367572547214
2019,10374,CC BY,2195,0.21158665895508
2019,10374,CC BY-SA,1,9.63948332369385e-5
2019,10374,CC BY-NC,749,0.07219973009446694
2019,10374,CC BY-NC-SA,0,0
2019,10374,CC BY-ND,2,1.92789666473877e-4
2019,10374,CC BY-NC-ND,789,0.07605552342394448
2020,11361,CC BY,4690,0.41281577325939617
2020,11361,CC BY-SA,1,8.802042073761112e-5
2020,11361,CC BY-NC,1735,0.1527154299797553
2020,11361,CC BY-NC-SA,0,0
2020,11361,CC BY-ND,5,4.4010210368805564e-4
2020,11361,CC BY-NC-ND,2083,0.18334653639644397
2021,11567,CC BY,3720,0.32160456470995075
2021,11567,CC BY-SA,1,8.64528399757932e-5
2021,11567,CC BY-NC,2215,0.19149304054638194
2021,11567,CC BY-NC-SA,0,0
2021,11567,CC BY-ND,3,2.5935851992737964e-4
2021,11567,CC BY-NC-ND,3736,0.3229878101495634
2022,9789,CC BY,3200,0.32689753805291655
2022,9789,CC BY-SA,2,2.0431096128307284e-4
2022,9789,CC BY-NC,1948,0.19899887628971294
2022,9789,CC BY-NC-SA,0,0
2022,9789,CC BY-ND,1,1.0215548064153642e-4
2022,9789,CC BY-NC-ND,2902,0.2964552048217387
2023,10128,CC BY,3543,0.34982227488151657
2023,10128,CC BY-SA,0,0
2023,10128,CC BY-NC,1903,0.18789494470774093
2023,10128,CC BY-NC-SA,0,0
2023,10128,CC BY-ND,0,0
2023,10128,CC BY-NC-ND,3199,0.3158570300157978
2024,2309,CC BY,728,0.3152880034647033
2024,2309,CC BY-SA,0,0
2024,2309,CC BY-NC,441,0.1909917713295799
2024,2309,CC BY-NC-SA,0,0
2024,2309,CC BY-ND,0,0
2024,2309,CC BY-NC-ND,660,0.28583802511909917
