cr_year,cc,cc_total,jn_all,prop
2017,CC BY,4141,190663,0.021718949140630328
2017,CC BY-SA,0,NA,0
2017,CC BY-NC,1467,190663,0.007694203909515742
2017,CC BY-NC-SA,7,190663,3.671399275160886e-5
2017,CC BY-ND,7,190663,3.671399275160886e-5
2017,CC BY-NC-ND,2840,190663,0.014895391344938452
2018,CC BY,5564,199512,0.02788804683427563
2018,CC BY-SA,1,199512,5.01222984081158e-6
2018,CC BY-NC,2403,199512,0.012044388307470228
2018,CC BY-NC-SA,10,199512,5.01222984081158e-5
2018,CC BY-ND,0,NA,0
2018,CC BY-NC-ND,3665,199512,0.018369822366574442
2019,CC BY,9598,204869,0.04684945013642865
2019,CC BY-SA,2,204869,9.762335931741746e-6
2019,CC BY-NC,3465,204869,0.016913247001742578
2019,CC BY-NC-SA,9,204869,4.393051169283786e-5
2019,CC BY-ND,7,204869,3.4168175761096116e-5
2019,CC BY-NC-ND,4572,204869,0.022316699939961635
2020,CC BY,18066,220621,0.08188703704543085
2020,CC BY-SA,7,220621,3.1728620575557174e-5
2020,CC BY-NC,5565,220621,0.025224253357567956
2020,CC BY-NC-SA,3,220621,1.3597980246667361e-5
2020,CC BY-ND,7,220621,3.1728620575557174e-5
2020,CC BY-NC-ND,7405,220621,0.03356434790885727
2021,CC BY,17067,216837,0.07870889193264988
2021,CC BY-SA,1,216837,4.6117590632594994e-6
2021,CC BY-NC,7528,216837,0.03471732222821751
2021,CC BY-NC-SA,5,216837,2.3058795316297495e-5
2021,CC BY-ND,7,216837,3.2282313442816495e-5
2021,CC BY-NC-ND,14383,216837,0.06633093060686138
2022,CC BY,22020,204561,0.1076451523017584
2022,CC BY-SA,16,204561,7.821627778511056e-5
2022,CC BY-NC,10376,204561,0.050723256143644195
2022,CC BY-NC-SA,97,204561,4.7418618407223275e-4
2022,CC BY-ND,4,204561,1.955406944627764e-5
2022,CC BY-NC-ND,20891,204561,0.10212601620054654
2023,CC BY,30090,207199,0.145222708603806
2023,CC BY-SA,0,NA,0
2023,CC BY-NC,12997,207199,0.06272713671398028
2023,CC BY-NC-SA,2,207199,9.652556238205783e-6
2023,CC BY-ND,1,207199,4.826278119102891e-6
2023,CC BY-NC-ND,25867,207199,0.1248413361068345
2024,CC BY,8156,55702,0.14642203152490035
2024,CC BY-SA,0,NA,0
2024,CC BY-NC,3283,55702,0.05893863775088866
2024,CC BY-NC-SA,1,55702,1.7952676744102546e-5
2024,CC BY-ND,0,NA,0
2024,CC BY-NC-ND,6542,55702,0.11744641125991885
