country_name_fct,cr_year,articles,cc_total,prop
United States,'17,42988,1492,0.03470736019354238
United States,'18,42482,1836,0.04321830422296502
United States,'19,42917,2404,0.05601509891185311
United States,'20,44827,3348,0.07468713052401454
United States,'21,42413,4126,0.0972814938815929
United States,'22,37514,8877,0.23663165751452792
United States,'23,37160,12138,0.32664155005382134
United States,'24,36651,13877,0.3786254126763253
China,'17,22289,318,0.01426712728251604
China,'18,27944,540,0.01932436301173776
China,'19,32610,887,0.027200245323520392
China,'20,34461,1280,0.03714343750906822
China,'21,36554,1350,0.036931662745527165
China,'22,41330,2082,0.05037503024437455
China,'23,47205,3477,0.0736574515411503
China,'24,55597,4026,0.07241397917153804
United Kingdom,'17,12957,2234,0.1724164544261789
United Kingdom,'18,12489,2564,0.20530066458483465
United Kingdom,'19,12384,2561,0.20679909560723514
United Kingdom,'20,13344,5845,0.43802458033573144
United Kingdom,'21,12772,5967,0.4671938615721892
United Kingdom,'22,11049,6939,0.6280206353516156
United Kingdom,'23,10846,7433,0.6853217776138668
United Kingdom,'24,10721,7522,0.7016136554425894
Germany,'17,10471,506,0.04832394231687518
Germany,'18,10793,653,0.060502177337162975
Germany,'19,10391,3671,0.3532864979309017
Germany,'20,11270,8384,0.743921916592724
Germany,'21,11494,9512,0.82756220636854
Germany,'22,9708,7941,0.8179851668726823
Germany,'23,10278,8639,0.8405331776610235
Germany,'24,9684,8051,0.8313713341594382
Australia,'17,8343,172,0.020616085341004436
Australia,'18,8528,253,0.029666979362101314
Australia,'19,8537,303,0.03549256178985592
Australia,'20,9176,475,0.051765475152571926
Australia,'21,9118,645,0.07073919719236675
Australia,'22,8297,4722,0.5691213691695793
Australia,'23,7985,5446,0.6820288040075141
Australia,'24,7890,5006,0.6344740177439797
Japan,'17,8134,371,0.04561101549053356
Japan,'18,8094,439,0.05423770694341488
Japan,'19,7965,570,0.07156308851224105
Japan,'20,8556,779,0.0910472183263207
Japan,'21,8261,921,0.11148771335189445
Japan,'22,7552,1018,0.1347987288135593
Japan,'23,7575,1634,0.2157095709570957
Japan,'24,7316,2442,0.33378895571350464
India,'17,5038,21,0.004168320762207225
India,'18,5118,43,0.008401719421649082
India,'19,5440,49,0.00900735294117647
India,'20,6874,93,0.013529240616816991
India,'21,7427,101,0.013599030564157802
India,'22,8111,184,0.022685242263592652
India,'23,8134,296,0.036390459798377184
India,'24,9704,538,0.055441055234954656
Canada,'17,5894,208,0.03529012555140821
Canada,'18,6014,292,0.04855337545726638
Canada,'19,5924,335,0.05654962862930452
Canada,'20,6098,440,0.07215480485405051
Canada,'21,5853,623,0.10644114129506237
Canada,'22,5369,702,0.13075060532687652
Canada,'23,5219,3282,0.628856102701667
Canada,'24,5560,4136,0.7438848920863309
Italy,'17,5040,149,0.029563492063492063
Italy,'18,5120,186,0.036328125
Italy,'19,5198,257,0.04944209311273567
Italy,'20,6404,385,0.06011867582760774
Italy,'21,5703,2085,0.3655970541820095
Italy,'22,5127,2521,0.49171055197971525
Italy,'23,5101,3104,0.6085081356596745
Italy,'24,5574,2859,0.5129171151776103
France,'17,4956,157,0.03167877320419693
France,'18,4739,180,0.03798269677147077
France,'19,4800,247,0.051458333333333335
France,'20,5208,400,0.07680491551459294
France,'21,4947,572,0.11562563169597737
France,'22,4339,1649,0.3800414842129523
France,'23,4422,2271,0.5135685210312076
France,'24,4649,2697,0.5801247580124758
Spain,'17,4090,142,0.03471882640586797
Spain,'18,4169,148,0.03550011993283761
Spain,'19,4116,243,0.05903790087463557
Spain,'20,4690,356,0.07590618336886994
Spain,'21,4316,1610,0.3730305838739574
Spain,'22,3772,2261,0.5994167550371156
Spain,'23,3760,2449,0.6513297872340426
Spain,'24,4124,2781,0.6743452958292919
South Korea,'17,4146,55,0.01326579835986493
South Korea,'18,4419,94,0.021271780945915364
South Korea,'19,4158,102,0.024531024531024532
South Korea,'20,4064,168,0.04133858267716536
South Korea,'21,3885,196,0.05045045045045045
South Korea,'22,3515,318,0.09046941678520626
South Korea,'23,4033,487,0.12075378130424003
