cr_year,cat,article_total,name,oa_articles,oa_share
2017,Germany,10465,Crossref,531,0.05074056378404204
2017,Germany,10465,Unpaywall,547,0.05226946966077401
2018,Germany,10854,Crossref,689,0.0634789017873595
2018,Germany,10854,Unpaywall,718,0.06615072784227014
2019,Germany,10336,Crossref,3741,0.3619388544891641
2019,Germany,10336,Unpaywall,3552,0.34365325077399383
2020,Germany,11358,Crossref,8499,0.748283148441627
2020,Germany,11358,Unpaywall,7864,0.6923754182074309
2021,Germany,11516,Crossref,9666,0.8393539423410906
2021,Germany,11516,Unpaywall,6902,0.5993400486279958
2022,Germany,9823,Crossref,8072,0.8217448844548508
2022,Germany,9823,Unpaywall,6282,0.6395194950626082
2023,Germany,9163,Crossref,7726,0.8431736330895995
2023,Germany,9163,Unpaywall,6537,0.7134126377823857
