cr_year,cat,article_total,name,oa_articles,oa_share
2017,Global,192025,Crossref,8406,0.04377555005858612
2017,Global,192025,Unpaywall,8836,0.04601484181747168
2018,Global,201372,Crossref,11672,0.057962378086327794
2018,Global,201372,Unpaywall,11960,0.059392566990445546
2019,Global,207414,Crossref,17759,0.08562102847445206
2019,Global,207414,Unpaywall,17453,0.08414571822538498
2020,Global,223417,Crossref,31177,0.13954622969603925
2020,Global,223417,Unpaywall,29196,0.1306794021941034
2021,Global,220881,Crossref,39543,0.17902399934806526
2021,Global,220881,Unpaywall,26307,0.1191003300419683
2022,Global,208948,Crossref,54708,0.2618259088385627
2022,Global,208948,Unpaywall,31522,0.1508605011773264
2023,Global,160147,Crossref,53125,0.3317264762998995
2023,Global,160147,Unpaywall,30326,0.18936352226392003
