cat,type,esac_publisher,name,value,prop
global,Elsevier,Elsevier,Total Articles,4522111,0.31240311475254684
global,Elsevier,Elsevier,Open Access Articles with Creative Commons License,375507,0.2512456668457581
global,Springer Nature,Springer Nature,Total Articles,2471691,0.17075298839542796
global,Springer Nature,Springer Nature,Open Access Articles with Creative Commons License,317233,0.21225547494582095
global,Wiley,Wiley,Total Articles,1613331,0.11145450200732382
global,Wiley,Wiley,Open Access Articles with Creative Commons License,287436,0.1923187836590991
global,Top 4-13,Taylor and Francis,Total Articles,1010068,0.06977900129206811
global,Top 4-13,Taylor and Francis,Open Access Articles with Creative Commons License,97542,0.06526377626906806
global,Top 4-13,Wolters Kluwer Health,Total Articles,524476,0.03623262144891108
global,Top 4-13,Wolters Kluwer Health,Open Access Articles with Creative Commons License,19662,0.013155526532185274
global,Top 4-13,Sage,Total Articles,508501,0.03512901303280366
global,Top 4-13,Sage,Open Access Articles with Creative Commons License,55568,0.037179651019248874
global,Other,IEEE,Total Articles,487143,0.03365352830346268
global,Other,IEEE,Open Access Articles with Creative Commons License,16313,0.010914764740084345
global,Top 4-13,American Chemical Society,Total Articles,486832,0.03363204334462641
global,Top 4-13,American Chemical Society,Open Access Articles with Creative Commons License,36102,0.02415526492040244
global,Top 4-13,Oxford University Press,Total Articles,439373,0.03035341099282409
global,Top 4-13,Oxford University Press,Open Access Articles with Creative Commons License,57166,0.03824884700126657
global,Top 4-13,Royal Society of Chemistry,Total Articles,246080,0.0170000600335345
global,Top 4-13,Royal Society of Chemistry,Open Access Articles with Creative Commons License,28172,0.01884943004092786
global,Top 4-13,IOP Publishing,Total Articles,219346,0.015153182575242433
global,Top 4-13,IOP Publishing,Open Access Articles with Creative Commons License,24978,0.016712376244579583
global,Top 4-13,Cambridge University Press,Total Articles,215987,0.014921131203116935
global,Top 4-13,Cambridge University Press,Open Access Articles with Creative Commons License,35708,0.023891645886037625
global,Top 4-13,The Electrochemical Society,Total Articles,190315,0.013147620388825252
global,Top 4-13,The Electrochemical Society,Open Access Articles with Creative Commons License,23597,0.0157883714566156
global,Top 4-13,American Physical Society,Total Articles,149756,0.01034566397261863
global,Top 4-13,American Physical Society,Open Access Articles with Creative Commons License,24479,0.01637850340664039
global,Other,Walter de Gruyter,Total Articles,147102,0.010162316446086605
global,Other,Walter de Gruyter,Open Access Articles with Creative Commons License,10405,0.006961817392299246
global,Other,Emerald,Total Articles,144586,0.009988502438266494
global,Other,Emerald,Open Access Articles with Creative Commons License,85,5.687212670306929e-5
global,Other,AIP Publishing,Total Articles,132243,0.00913580518130162
global,Other,AIP Publishing,Open Access Articles with Creative Commons License,9,6.021754592089689e-6
global,Other,BMJ Publishing,Total Articles,100920,0.0069719036841039556
global,Other,BMJ Publishing,Open Access Articles with Creative Commons License,8939,0.005980940477632192
global,Other,Thieme,Total Articles,94206,0.006508077273728669
global,Other,Thieme,Open Access Articles with Creative Commons License,2002,0.0013395058548181732
global,Other,World Scientific,Total Articles,71479,0.004938017275426741
global,Other,World Scientific,Open Access Articles with Creative Commons License,0,0
global,Other,Bentham Science Publishers,Total Articles,63612,0.004394537625378724
global,Other,Bentham Science Publishers,Open Access Articles with Creative Commons License,5331,0.0035668859700477926
global,Other,American Psychological Association,Total Articles,59602,0.004117512914981808
global,Other,American Psychological Association,Open Access Articles with Creative Commons License,1264,8.457219782668186e-4
global,Other,Brill,Total Articles,56168,0.0038802802826867914
global,Other,Brill,Open Access Articles with Creative Commons License,5130,0.003432400117491123
global,Other,"Mary Ann Liebert, Inc.",Total Articles,51557,0.0035617364074648004
global,Other,"Mary Ann Liebert, Inc.",Open Access Articles with Creative Commons License,0,0
global,Other,Association for Computing Machinery,Total Articles,46969,0.0032447814520281284
global,Other,Association for Computing Machinery,Open Access Articles with Creative Commons License,688,4.603296843730785e-4
global,Other,IOS Press,Total Articles,42577,0.002941366856501131
global,Other,IOS Press,Open Access Articles with Creative Commons License,3834,0.0025652674562302077
