cat,type,esac_publisher,name,value,prop
de,Elsevier,Elsevier,Total Articles,101166,0.22319541457258715
de,Elsevier,Elsevier,Open Access Articles with Creative Commons License,11927,0.10381866768799561
de,Springer Nature,Springer Nature,Total Articles,108719,0.239859066058924
de,Springer Nature,Springer Nature,Open Access Articles with Creative Commons License,40073,0.34881575167779394
de,Wiley,Wiley,Total Articles,70759,0.15611059387285942
de,Wiley,Wiley,Open Access Articles with Creative Commons License,36255,0.31558193988666733
de,Top 4-13,Taylor and Francis,Total Articles,19001,0.0419205669127348
de,Top 4-13,Taylor and Francis,Open Access Articles with Creative Commons License,2826,0.024598939790917717
de,Top 4-13,Sage,Total Articles,9708,0.02141807607961841
de,Top 4-13,Sage,Open Access Articles with Creative Commons License,2447,0.02129993123438629
de,Top 4-13,Oxford University Press,Total Articles,15649,0.03452528559641002
de,Top 4-13,Oxford University Press,Open Access Articles with Creative Commons License,2719,0.023667557427991957
de,Top 4-13,American Chemical Society,Total Articles,16847,0.03716834854896285
de,Top 4-13,American Chemical Society,Open Access Articles with Creative Commons License,1654,0.014397256339057998
de,Top 4-13,IEEE,Total Articles,8057,0.01777559115919711
de,Top 4-13,IEEE,Open Access Articles with Creative Commons License,808,0.007033242516299191
de,Other,Wolters Kluwer Health,Total Articles,7182,0.01584514033825911
de,Other,Wolters Kluwer Health,Open Access Articles with Creative Commons License,134,0.0011664040806733807
de,Top 4-13,Royal Society of Chemistry,Total Articles,8400,0.018532327881004805
de,Top 4-13,Royal Society of Chemistry,Open Access Articles with Creative Commons License,2607,0.022692652524742563
de,Top 4-13,Cambridge University Press,Total Articles,4117,0.009083046891201998
de,Top 4-13,Cambridge University Press,Open Access Articles with Creative Commons License,1506,0.013108989145478443
de,Top 4-13,IOP Publishing,Total Articles,6314,0.013930133123888612
de,Top 4-13,IOP Publishing,Open Access Articles with Creative Commons License,2616,0.022770993097325106
de,Top 4-13,American Physical Society,Total Articles,11547,0.025475332147852678
de,Top 4-13,American Physical Society,Open Access Articles with Creative Commons License,2339,0.0203598443633958
de,Top 4-13,Walter de Gruyter,Total Articles,19042,0.04201102232263018
de,Top 4-13,Walter de Gruyter,Open Access Articles with Creative Commons License,1703,0.014823777234229608
de,Other,Emerald,Total Articles,1845,0.004070493445292127
de,Other,Emerald,Open Access Articles with Creative Commons License,1,8.704508064726722e-6
de,Other,AIP Publishing,Total Articles,5762,0.012712294434565438
de,Other,AIP Publishing,Open Access Articles with Creative Commons License,1,8.704508064726722e-6
de,Other,Thieme,Total Articles,12800,0.028239737723435892
de,Other,Thieme,Open Access Articles with Creative Commons License,641,0.005579589669489828
de,Other,BMJ Publishing,Total Articles,1233,0.002720280985390348
de,Other,BMJ Publishing,Open Access Articles with Creative Commons License,257,0.0022370585726347674
de,Other,Bentham Science Publishers,Total Articles,394,8.692544267995111e-4
de,Other,Bentham Science Publishers,Open Access Articles with Creative Commons License,47,4.0911187904215594e-4
de,Other,The Electrochemical Society,Total Articles,1399,0.0030865150839911575
de,Other,The Electrochemical Society,Open Access Articles with Creative Commons License,421,0.00366459789524995
de,Other,Brill,Total Articles,2503,0.005522192462637503
de,Other,Brill,Open Access Articles with Creative Commons License,156,0.0013579032580973687
de,Other,American Psychological Association,Total Articles,537,0.0011847452466785214
de,Other,American Psychological Association,Open Access Articles with Creative Commons License,5,4.352254032363361e-5
de,Other,"Mary Ann Liebert, Inc.",Total Articles,853,0.0018819137717258452
de,Other,"Mary Ann Liebert, Inc.",Open Access Articles with Creative Commons License,0,0
de,Other,IOS Press,Total Articles,1178,0.0025989383623599596
de,Other,IOS Press,Open Access Articles with Creative Commons License,196,0.0017060835806864375
de,Other,Association for Computing Machinery,Total Articles,1693,0.0037351465598263254
