cr_year,jn_all,cc,cc_total,prop
2017,163,CC BY,0,0
2017,163,CC BY-SA,0,0
2017,163,CC BY-NC,0,0
2017,163,CC BY-NC-SA,0,0
2017,163,CC BY-ND,0,0
2017,163,CC BY-NC-ND,0,0
2018,142,CC BY,0,0
2018,142,CC BY-SA,0,0
2018,142,CC BY-NC,1,0.007042253521126761
2018,142,CC BY-NC-SA,0,0
2018,142,CC BY-ND,0,0
2018,142,CC BY-NC-ND,0,0
2019,151,CC BY,0,0
2019,151,CC BY-SA,0,0
2019,151,CC BY-NC,14,0.09271523178807947
2019,151,CC BY-NC-SA,0,0
2019,151,CC BY-ND,0,0
2019,151,CC BY-NC-ND,0,0
2020,180,CC BY,2,0.011111111111111112
2020,180,CC BY-SA,0,0
2020,180,CC BY-NC,37,0.20555555555555555
2020,180,CC BY-NC-SA,0,0
2020,180,CC BY-ND,0,0
2020,180,CC BY-NC-ND,0,0
2021,175,CC BY,9,0.05142857142857143
2021,175,CC BY-SA,0,0
2021,175,CC BY-NC,71,0.4057142857142857
2021,175,CC BY-NC-SA,0,0
2021,175,CC BY-ND,0,0
2021,175,CC BY-NC-ND,0,0
2022,152,CC BY,27,0.17763157894736842
2022,152,CC BY-SA,0,0
2022,152,CC BY-NC,40,0.2631578947368421
2022,152,CC BY-NC-SA,0,0
2022,152,CC BY-ND,0,0
2022,152,CC BY-NC-ND,0,0
2023,97,CC BY,2,0.020618556701030927
2023,97,CC BY-SA,0,0
2023,97,CC BY-NC,41,0.422680412371134
2023,97,CC BY-NC-SA,0,0
2023,97,CC BY-ND,0,0
2023,97,CC BY-NC-ND,0,0
