cr_year,cc,cc_total,jn_all,prop
2017,CC BY,22,10557,0.0020839253575826466
2017,CC BY-SA,0,NA,0
2017,CC BY-NC,75,10557,0.007104290991759022
2017,CC BY-NC-SA,0,NA,0
2017,CC BY-ND,0,NA,0
2017,CC BY-NC-ND,0,NA,0
2018,CC BY,20,10184,0.0019638648860958365
2018,CC BY-SA,0,NA,0
2018,CC BY-NC,79,10184,0.0077572663000785545
2018,CC BY-NC-SA,0,NA,0
2018,CC BY-ND,0,NA,0
2018,CC BY-NC-ND,0,NA,0
2019,CC BY,112,10844,0.010328292143120619
2019,CC BY-SA,0,NA,0
2019,CC BY-NC,265,10844,0.024437476945776467
2019,CC BY-NC-SA,0,NA,0
2019,CC BY-ND,0,NA,0
2019,CC BY-NC-ND,0,NA,0
2020,CC BY,471,10695,0.04403927068723703
2020,CC BY-SA,0,NA,0
2020,CC BY-NC,827,10695,0.07732585320243104
2020,CC BY-NC-SA,0,NA,0
2020,CC BY-ND,0,NA,0
2020,CC BY-NC-ND,1,10695,9.350163627863488e-5
2021,CC BY,512,8689,0.05892507768442859
2021,CC BY-SA,0,NA,0
2021,CC BY-NC,835,8689,0.09609851536425365
2021,CC BY-NC-SA,0,NA,0
2021,CC BY-ND,0,NA,0
2021,CC BY-NC-ND,0,NA,0
2022,CC BY,508,9342,0.054378077499464786
2022,CC BY-SA,0,NA,0
2022,CC BY-NC,556,9342,0.059516163562406334
2022,CC BY-NC-SA,0,NA,0
2022,CC BY-ND,0,NA,0
2022,CC BY-NC-ND,0,NA,0
2023,CC BY,356,7913,0.04498925818273727
2023,CC BY-SA,0,NA,0
2023,CC BY-NC,686,7913,0.08669278402628586
2023,CC BY-NC-SA,0,NA,0
2023,CC BY-ND,0,NA,0
2023,CC BY-NC-ND,0,NA,0
2024,CC BY,380,8326,0.04564016334374249
2024,CC BY-SA,0,NA,0
2024,CC BY-NC,759,8326,0.09116022099447514
2024,CC BY-NC-SA,0,NA,0
2024,CC BY-ND,0,NA,0
2024,CC BY-NC-ND,4,8326,4.8042277203939464e-4
2025,CC BY,434,8477,0.05119735755573906
2025,CC BY-SA,0,NA,0
2025,CC BY-NC,822,8477,0.09696826707561637
2025,CC BY-NC-SA,0,NA,0
2025,CC BY-ND,0,NA,0
2025,CC BY-NC-ND,39,8477,0.004600684204317565
2026,CC BY,235,2835,0.08289241622574955
2026,CC BY-SA,0,NA,0
2026,CC BY-NC,387,2835,0.1365079365079365
2026,CC BY-NC-SA,0,NA,0
2026,CC BY-ND,0,NA,0
2026,CC BY-NC-ND,26,2835,0.009171075837742505
