cr_year,cat,article_total,name,oa_articles,oa_share
2017,Germany,171,Crossref,0,0
2017,Germany,171,Unpaywall,27,0.15789473684210525
2018,Germany,154,Crossref,1,0.006493506493506494
2018,Germany,154,Unpaywall,17,0.11038961038961038
2019,Germany,162,Crossref,17,0.10493827160493827
2019,Germany,162,Unpaywall,36,0.2222222222222222
2020,Germany,192,Crossref,42,0.21875
2020,Germany,192,Unpaywall,42,0.21875
2021,Germany,180,Crossref,83,0.46111111111111114
2021,Germany,180,Unpaywall,82,0.45555555555555555
2022,Germany,154,Crossref,69,0.44805194805194803
2022,Germany,154,Unpaywall,66,0.42857142857142855
2023,Germany,149,Crossref,75,0.5033557046979866
2023,Germany,149,Unpaywall,70,0.4697986577181208
2024,Germany,16,Crossref,9,0.5625
2024,Germany,16,Unpaywall,7,0.4375
