cr_year,cat,article_total,name,oa_articles,oa_share
2017,Global,10553,Crossref,98,0.009286458826873874
2017,Global,10553,Unpaywall,755,0.07154363688050791
2018,Global,10183,Crossref,99,0.009722085829323383
2018,Global,10183,Unpaywall,757,0.07433958558381616
2019,Global,10841,Crossref,377,0.03477538972419519
2019,Global,10841,Unpaywall,886,0.08172677797251177
2020,Global,10693,Crossref,1301,0.12166838118395212
2020,Global,10693,Unpaywall,1408,0.1316749275226784
2021,Global,8689,Crossref,1350,0.15536885717573945
2021,Global,8689,Unpaywall,1465,0.1686039820462654
2022,Global,9342,Crossref,1064,0.11389424106187113
2022,Global,9342,Unpaywall,1052,0.11260971954613573
2023,Global,7913,Crossref,1042,0.13168204220902313
2023,Global,7913,Unpaywall,1041,0.1315556678882851
2024,Global,8332,Crossref,1153,0.13838214114258282
2024,Global,8332,Unpaywall,1057,0.12686029764762363
2025,Global,7060,Crossref,976,0.13824362606232293
2025,Global,7060,Unpaywall,197,0.02790368271954674
