cr_year,jn_all,cc,cc_total,prop
2017,50657,CC BY,1820,0.035927907298102926
2017,50657,CC BY-SA,0,0
2017,50657,CC BY-NC,184,0.003632271946621395
2017,50657,CC BY-NC-SA,47,9.278085950608998e-4
2017,50657,CC BY-ND,1,1.9740608405551058e-5
2017,50657,CC BY-NC-ND,866,0.017095366879207218
2018,50203,CC BY,2284,0.045495289126147836
2018,50203,CC BY-SA,1,1.9919128338943887e-5
2018,50203,CC BY-NC,361,0.007190805330358744
2018,50203,CC BY-NC-SA,12,2.3902954006732667e-4
2018,50203,CC BY-ND,0,0
2018,50203,CC BY-NC-ND,1044,0.02079556998585742
2019,49378,CC BY,4956,0.10036858519988659
2019,49378,CC BY-SA,0,0
2019,49378,CC BY-NC,1107,0.02241889100409089
2019,49378,CC BY-NC-SA,13,2.6327514277613514e-4
2019,49378,CC BY-ND,2,4.0503868119405404e-5
2019,49378,CC BY-NC-ND,1762,0.03568390781319616
2020,50849,CC BY,15621,0.30720368148832816
2020,50849,CC BY-SA,1,1.966607012920608e-5
2020,50849,CC BY-NC,2422,0.047631221852937125
2020,50849,CC BY-NC-SA,25,4.91651753230152e-4
2020,50849,CC BY-ND,7,1.3766249090444257e-4
2020,50849,CC BY-NC-ND,3303,0.06495702963676768
2021,52571,CC BY,18437,0.3507066633695383
2021,52571,CC BY-SA,1,1.902189420022446e-5
2021,52571,CC BY-NC,3126,0.059462441269901654
2021,52571,CC BY-NC-SA,22,4.184816724049381e-4
2021,52571,CC BY-ND,3,5.7065682600673376e-5
2021,52571,CC BY-NC-ND,5465,0.10395465180422667
2022,45368,CC BY,17867,0.3938238405924881
2022,45368,CC BY-SA,8,1.7633574325515782e-4
2022,45368,CC BY-NC,2804,0.06180567801093281
2022,45368,CC BY-NC-SA,25,5.510491976723682e-4
2022,45368,CC BY-ND,3,6.612590372068418e-5
2022,45368,CC BY-NC-ND,4506,0.09932110738846764
2023,44436,CC BY,18638,0.4194346925915924
2023,44436,CC BY-SA,7,1.575299306868305e-4
2023,44436,CC BY-NC,2919,0.06568998109640832
2023,44436,CC BY-NC-SA,26,5.851111711225133e-4
2023,44436,CC BY-ND,16,3.600684129984697e-4
2023,44436,CC BY-NC-ND,4689,0.10552254928436403
2024,43554,CC BY,23082,0.5299628047940488
2024,43554,CC BY-SA,11,2.5256004040960647e-4
2024,43554,CC BY-NC,3677,0.08442393350782935
2024,43554,CC BY-NC-SA,27,6.199200991872159e-4
2024,43554,CC BY-ND,8,1.836800293888047e-4
2024,43554,CC BY-NC-ND,4662,0.10703953712632594
2025,42661,CC BY,28428,0.6663697522327184
2025,42661,CC BY-SA,14,3.281685848901807e-4
2025,42661,CC BY-NC,1649,0.038653571177422
2025,42661,CC BY-NC-SA,20,4.6881226412882963e-4
2025,42661,CC BY-ND,14,3.281685848901807e-4
2025,42661,CC BY-NC-ND,1979,0.04638897353554769
2026,8459,CC BY,5938,0.701974228632226
2026,8459,CC BY-SA,0,0
2026,8459,CC BY-NC,206,0.024352760373566616
2026,8459,CC BY-NC-SA,4,4.7286913346731294e-4
2026,8459,CC BY-ND,2,2.3643456673365647e-4
2026,8459,CC BY-NC-ND,240,0.028372148008038774
