cr_year,cc,cc_total,jn_all,prop
2017,CC BY,28994,1052633,0.0275442628152452
2017,CC BY-SA,0,NA,0
2017,CC BY-NC,2411,1052633,0.0022904469078966743
2017,CC BY-NC-SA,674,1052633,6.40299135596167e-4
2017,CC BY-ND,7,1052633,6.649991022512119e-6
2017,CC BY-NC-ND,12007,1052633,0.011406634601043289
2018,CC BY,35145,1092161,0.03217932154691479
2018,CC BY-SA,3,1092161,2.746847763287647e-6
2018,CC BY-NC,4068,1092161,0.0037247255670180496
2018,CC BY-NC-SA,194,1092161,1.7762948869260117e-4
2018,CC BY-ND,0,NA,0
2018,CC BY-NC-ND,14420,1092161,0.013203181582202624
2019,CC BY,43094,1131747,0.03807741482857918
2019,CC BY-SA,0,NA,0
2019,CC BY-NC,6494,1131747,0.005738031556522792
2019,CC BY-NC-SA,102,1131747,9.012615010245222e-5
2019,CC BY-ND,8,1131747,7.0687176550942925e-6
2019,CC BY-NC-ND,17995,1131747,0.015900196775427724
2020,CC BY,77410,1213989,0.06376499292827201
2020,CC BY-SA,1,1213989,8.237306927822246e-7
2020,CC BY-NC,11809,1213989,0.00972743575106529
2020,CC BY-NC-SA,161,1213989,1.3262064153793816e-4
2020,CC BY-ND,9,1213989,7.4135762350400205e-6
2020,CC BY-NC-ND,24214,1213989,0.019945814995028784
2021,CC BY,104776,1263465,0.08292750491703371
2021,CC BY-SA,0,NA,0
2021,CC BY-NC,15525,1263465,0.012287637568116253
2021,CC BY-NC-SA,242,1263465,1.9153676595711e-4
2021,CC BY-ND,8,1263465,6.331793915937521e-6
2021,CC BY-NC-ND,38226,1263465,0.03025489427882846
2022,CC BY,129262,1243451,0.10395423703869312
2022,CC BY-SA,14,1243451,1.1258988090403241e-5
2022,CC BY-NC,20091,1243451,0.01615745212316368
2022,CC BY-NC-SA,336,1243451,2.702157141696778e-4
2022,CC BY-ND,18,1243451,1.4475841830518453e-5
2022,CC BY-NC-ND,49105,1243451,0.03949090072708936
2023,CC BY,161963,1248024,0.12977554918815665
2023,CC BY-SA,33,1248024,2.6441799196169306e-5
2023,CC BY-NC,26651,1248024,0.021354557284154793
2023,CC BY-NC-SA,293,1248024,2.347711261962911e-4
2023,CC BY-ND,28,1248024,2.24354659846285e-5
2023,CC BY-NC-ND,56605,1248024,0.045355698287853435
2024,CC BY,114794,794939,0.14440604876600593
2024,CC BY-SA,9,794939,1.13216234201618e-5
2024,CC BY-NC,20711,794939,0.02605357140610789
2024,CC BY-NC-SA,124,794939,1.5598681156667367e-4
2024,CC BY-ND,7,794939,8.805707104570288e-6
2024,CC BY-NC-ND,36175,794939,0.04550663635826145
