country_name_fct,cr_year,articles,cc_total,prop
United States,'17,115947,3350,0.02889251123358086
United States,'18,116401,4303,0.036967036365666964
United States,'19,117231,5287,0.04509899258728493
United States,'20,124343,7817,0.06286642593471285
United States,'21,121692,11320,0.0930217269828748
United States,'22,111910,17255,0.15418639978554197
United States,'23,54822,11100,0.20247345956003066
China,'17,79506,1377,0.01731944758886122
China,'18,92620,2110,0.02278125674800259
China,'19,104675,2902,0.027723907332218772
China,'20,113569,4207,0.03704355942202538
China,'21,124366,5176,0.041619092034800506
China,'22,139197,6887,0.0494766410195622
China,'23,74433,4990,0.06704015691964585
United Kingdom,'17,35411,6769,0.19115529072886955
United Kingdom,'18,34499,7821,0.22670222325284792
United Kingdom,'19,35111,8161,0.232434279855316
United Kingdom,'20,38228,15453,0.40423249973841163
United Kingdom,'21,37124,17994,0.484699924577093
United Kingdom,'22,33835,18958,0.5603073740209842
United Kingdom,'23,15842,9253,0.5840802928923116
Germany,'17,32885,1924,0.058506918047742135
Germany,'18,33089,2512,0.07591646770830185
Germany,'19,32864,6302,0.19175998052580331
Germany,'20,35670,19540,0.5477992710961592
Germany,'21,37035,24182,0.6529499122451735
Germany,'22,31306,21774,0.6955216252475563
Germany,'23,15707,11096,0.7064366206150124
India,'17,22984,277,0.012051862164984337
India,'18,25219,311,0.012331971925928864
India,'19,27909,274,0.00981762155577054
India,'20,34961,604,0.0172763936958325
India,'21,41243,779,0.018888053730329996
India,'22,41984,899,0.021412919207317072
India,'23,22880,572,0.025
Japan,'17,20885,1074,0.05142446732104381
Japan,'18,21128,1353,0.06403824308973874
Japan,'19,20703,1594,0.0769936724146259
Japan,'20,22562,2292,0.10158673876429394
Japan,'21,22299,3038,0.1362392932418494
Japan,'22,20880,3042,0.1456896551724138
Japan,'23,10132,2057,0.20302013422818793
Australia,'17,18490,501,0.027095727420227148
Australia,'18,18559,672,0.03620884745945364
Australia,'19,18460,765,0.0414409534127844
Australia,'20,19866,1163,0.05854223296083761
Australia,'21,19864,1542,0.07762786951268627
Australia,'22,18187,8250,0.4536207180953428
Australia,'23,8942,5121,0.5726906732274659
Italy,'17,15842,624,0.03938896603964146
Italy,'18,16170,699,0.04322820037105751
Italy,'19,16369,853,0.052110697049300506
Italy,'20,20332,3014,0.14823922880188864
Italy,'21,18716,6715,0.35878392818978416
Italy,'22,17206,7715,0.4483900964779728
Italy,'23,8622,4158,0.4822546972860125
Canada,'17,16925,521,0.030782865583456425
Canada,'18,16814,765,0.04549779945283692
Canada,'19,16882,806,0.047743158393555266
Canada,'20,18399,1374,0.07467797162889288
Canada,'21,17963,3206,0.17847798251962368
Canada,'22,16446,3944,0.23981515262069805
Canada,'23,8138,3254,0.39985254362251166
France,'17,14004,521,0.03720365609825764
France,'18,13629,536,0.039327903734683395
France,'19,13237,684,0.05167333988063761
France,'20,14543,1108,0.07618785670081826
France,'21,14452,1505,0.10413783559368946
France,'22,13108,2827,0.215669819957278
France,'23,6657,1819,0.27324620700015023
Iran,'17,10425,215,0.02062350119904077
Iran,'18,11445,162,0.014154652686762779
Iran,'19,12585,181,0.014382201032975765
Iran,'20,13801,249,0.01804217085718426
Iran,'21,14181,210,0.014808546646921938
Iran,'22,13630,296,0.021716801173881143
Iran,'23,6161,235,0.0381431585781529
Brazil,'17,9888,244,0.024676375404530743
Brazil,'18,10878,310,0.028497885640742782
Brazil,'19,11504,276,0.023991655076495134
Brazil,'20,14155,360,0.025432709290003533
Brazil,'21,14488,449,0.030991165102153505
Brazil,'22,12423,450,0.036223134508572806
Brazil,'23,5870,271,0.04616695059625213
South Korea,'17,12001,264,0.021998166819431713
South Korea,'18,12557,374,0.029784184120410926
South Korea,'19,12076,424,0.035110963895329576
South Korea,'20,11796,516,0.04374364191251272
South Korea,'21,11621,691,0.059461320024094315
South Korea,'22,10790,881,0.08164967562557925
South Korea,'23,5646,656,0.11618845200141693
Spain,'17,11421,441,0.038613081166272656
Spain,'18,11192,546,0.04878484631879914
Spain,'19,11188,686,0.06131569538791563
Spain,'20,12330,1043,0.0845904298459043
Spain,'21,12155,3510,0.2887700534759358
Spain,'22,11095,5340,0.48129788192879674
Spain,'23,5768,3094,0.5364077669902912
Netherlands,'17,9479,3058,0.322607870028484
Netherlands,'18,9466,4067,0.4296429326008874
Netherlands,'19,9420,5158,0.5475583864118896
Netherlands,'20,9809,6578,0.6706086247323886
Netherlands,'21,9897,6951,0.7023340406183692
Netherlands,'22,9372,6692,0.7140418267178831
Netherlands,'23,4733,3478,0.734840481724065
Turkey,'17,5983,58,0.009694133377904061
Turkey,'18,6728,72,0.01070154577883472
Turkey,'19,7682,68,0.008851861494402499
Turkey,'20,10556,183,0.01733611216369837
Turkey,'21,12320,328,0.026623376623376622
Turkey,'22,12121,392,0.0323405659599043
Turkey,'23,5841,387,0.0662557781201849
Switzerland,'17,6270,451,0.07192982456140351
Switzerland,'18,5957,571,0.09585361759274803
Switzerland,'19,6267,845,0.13483325355034306
Switzerland,'20,6636,1661,0.25030138637733573
Switzerland,'21,6563,3497,0.5328355934785921
Switzerland,'22,6069,3866,0.6370077442741803
Switzerland,'23,2968,1994,0.671832884097035
Sweden,'17,5874,1702,0.28975144705481787
Sweden,'18,5882,2121,0.3605916354981299
Sweden,'19,5896,2484,0.42130257801899595
Sweden,'20,5858,4072,0.6951177876408331
Sweden,'21,5911,4490,0.7596007443748942
Sweden,'22,5443,4362,0.8013962888113173
Sweden,'23,2737,2156,0.7877237851662404
Russia,'17,4664,142,0.030445969125214408
Russia,'18,5072,138,0.02720820189274448
Russia,'19,5388,179,0.033221974758723086
Russia,'20,5741,235,0.040933635255182024
Russia,'21,5438,316,0.058109599117322545
Russia,'22,4842,252,0.05204460966542751
Russia,'23,2060,107,0.051941747572815535
Poland,'17,5115,1962,0.3835777126099707
Poland,'18,5304,2119,0.39950980392156865
Poland,'19,5284,2208,0.41786525359576077
Poland,'20,5246,2320,0.44224170796797563
Poland,'21,4634,2330,0.5028053517479499
Poland,'22,3999,1596,0.39909977494373594
Poland,'23,2078,1121,0.539461020211742
Other,'17,82363,4111,0.0499131891747508
Other,'18,85665,5767,0.06732037588279928
Other,'19,87987,8238,0.09362746769409118
Other,'20,101939,13100,0.12850822550741128
Other,'21,106311,17046,0.16034088664390325
Other,'22,100292,23270,0.23202249431659555
Other,'23,50124,15186,0.3029686377783098
