esac_publisher,cat,name,2017,2018,2019,2020,2021,2022,2023,2024,2025
Elsevier (DEAL),Germany,TDM Support,1,1,1,1,1,1,1,1,1
Elsevier (DEAL),Germany,ORCID,0.2144469525959368,0.3427495291902072,0.4204180064308682,0.349435382685069,0.49514563106796117,0.5175843694493784,0.663787587971849,0.658428475486904,0.6375908618899273
Elsevier (DEAL),Germany,Funder info,0.5970654627539503,0.6949152542372882,0.7331189710610932,0.7691342534504392,0.6779935275080906,0.44760213143872113,0.47472808701215613,0.5548690396239087,0.4953271028037383
Elsevier (DEAL),Germany,Open Abstracts,0,0,0,0,0,0,0,0,0
Elsevier (DEAL),Germany,Open Citations,0.9954853273137697,0.9981167608286252,0.9959807073954984,0.9993726474278545,0.9975728155339806,0.9953818827708704,0.9987204094689699,0.9986568166554735,0.9923849082727587
Elsevier (DEAL),Global,TDM Support,1,1,1,1,1,1,1,1,1
Elsevier (DEAL),Global,ORCID,0.22672651933701657,0.34670812653232075,0.4104523540875987,0.33320320817659166,0.47967692073237106,0.48425526328744195,0.6226870474658085,0.6252966709682077,0.650406863123958
Elsevier (DEAL),Global,Funder info,0.5604281767955801,0.6569993422232853,0.7349984613806544,0.7360352047696784,0.6511440576491847,0.43579855926223726,0.430384345885345,0.5476252786225443,0.510218502611211
Elsevier (DEAL),Global,Open Abstracts,0,1.1959576630987264e-4,1.0257462303826033e-4,1.7744339555681736e-4,8.70833605468835e-5,1.148651974860931e-4,1.8166247112864298e-4,1.2633896744966745e-4,1.1041061708493888e-5
Elsevier (DEAL),Global,Open Citations,0.9800414364640884,0.9822400287029839,0.9830238998871679,0.9936830151181772,0.9944702066052729,0.9936824141382649,0.9954324864401941,0.9960383709492568,0.9922050104338033
Springer Hybrid (DEAL),Germany,TDM Support,1,0.9964061096136568,0.9976869699306091,0.9994240958304538,1,1,0.9996847414880202,0.9953078507667659,0.9913249211356467
Springer Hybrid (DEAL),Germany,ORCID,0.3747474747474748,0.5220125786163522,0.6083269082498073,0.5750979037088229,0.6821747362726535,0.7047196450181524,0.6639344262295082,0.6503776607919433,0.6399842271293376
Springer Hybrid (DEAL),Germany,Funder info,0.4808080808080808,0.5211141060197664,0.5057825751734772,0.756046993780235,0.8786403390136146,0.9095401371520775,0.919609079445145,0.9047837033646143,0.876577287066246
Springer Hybrid (DEAL),Germany,Open Abstracts,0.052525252525252523,0.05211141060197664,0.36854279105628374,0.8836673577516702,0.8676404291768101,0.8750504235578862,0.8805170239596469,0.8821240558480201,0.8485804416403786
Springer Hybrid (DEAL),Germany,Open Citations,0.9737373737373738,0.9802336028751123,0.9683885890516577,0.9458650080626584,0.9099269678117392,0.9331383622428399,0.9365279529213956,0.9436942092011902,0.9538643533123028
Springer Hybrid (DEAL),Global,TDM Support,0.9993864004016288,0.996398315832192,0.9925083240843507,0.9981444938591583,0.9999561720684592,1,0.9994332170247436,0.9924371152399788,0.9917762768100485
Springer Hybrid (DEAL),Global,ORCID,0.37401684609806435,0.5360422056510932,0.6711061783203848,0.680558418990958,0.7754695067166305,0.7822688655672164,0.7368355798012717,0.6902142120950444,0.6519966820713354
Springer Hybrid (DEAL),Global,Funder info,0.5681374463100352,0.5801247907472227,0.6259248982611912,0.7137513621771272,0.717682378980124,0.7323138430784608,0.7642359942613224,0.7553553023761107,0.7546628747481929
Springer Hybrid (DEAL),Global,Open Abstracts,0.049199531433033974,0.05818495409120885,0.350952645209027,0.9220981945630725,0.914382135735104,0.9099050474762619,0.9165412068934979,0.8829354578121953,0.8115179523640241
Springer Hybrid (DEAL),Global,Open Citations,0.9842137557873598,0.9766144168822605,0.9732704402515723,0.9685447530409684,0.9554708215545767,0.9570414792603699,0.960201207956216,0.9618095211565781,0.9668918118260458
Wiley Hybrid (DEAL),Germany,TDM Support,1,0.9971428571428571,1,0.9996558449007686,0.9997973452224136,0.9978231950659088,0.30292382984063243,0.02511415525114155,0.0210727969348659
Wiley Hybrid (DEAL),Germany,ORCID,0.6672897196261682,0.75,0.7561809573908469,0.8530457726281978,0.8237916708886412,0.8736243802152618,0.8418873133391893,0.9313641552511416,0.8858784893267652
Wiley Hybrid (DEAL),Germany,Funder info,0.7757009345794392,0.7742857142857142,0.5731194108364019,0.5968796604336354,0.4965042050866349,0.5406941589067602,0.5325636842765717,0.5702054794520548,0.5517241379310345
Wiley Hybrid (DEAL),Germany,Open Abstracts,0.8934579439252337,0.92,0.9473961073119411,0.9292187679247448,0.9333265781740805,0.9386866610230983,0.9749027481490776,0.964041095890411,0.9630541871921182
Wiley Hybrid (DEAL),Germany,Open Citations,0.9962616822429906,0.9985714285714286,0.9918463966333508,0.9856602041986922,0.9863208025129192,0.9836739629943161,0.9882042916300665,0.9888698630136986,0.9906951286261632
Wiley Hybrid (DEAL),Global,TDM Support,0.9975810353168844,0.998608453644112,0.9998868009961512,0.9986254075826354,0.9996932672153775,0.9872257399499338,0.29303590859630035,0.034025577848175524,0.018508685428202987
Wiley Hybrid (DEAL),Global,ORCID,0.5742622157716497,0.713341450687076,0.7732623952909214,0.850585000959018,0.8623281018352845,0.8749263731409218,0.8850458572983056,0.9173706441393875,0.908316265898
Wiley Hybrid (DEAL),Global,Funder info,0.748306724721819,0.7456079318142286,0.6270092823183157,0.5712550348443194,0.4876540054189459,0.48816448240318067,0.50143012591325975,0.5174967734365834,0.49930466004197327
Wiley Hybrid (DEAL),Global,Open Abstracts,0.8574020319303338,0.8791963819794747,0.8946117274167987,0.8856530912345758,0.8989571085322836,0.9103224856427625,0.9519975128244986,0.9554734248504048,0.9518824749045488
Wiley Hybrid (DEAL),Global,Open Citations,0.9802854378326077,0.9839102452600452,0.9857369255150554,0.9782942267118471,0.9829507693880681,0.9811147106464438,0.9801025959894295,0.9820632406429661,0.9844243849402008
Sage (BSB),Germany,TDM Support,1,1,1,1,1,1,0.9948051948051948,0.9972602739726028,0.9444444444444444
Sage (BSB),Germany,ORCID,0.25,0.4,0.7346938775510204,0.8292011019283747,0.8882602545968883,0.9111969111969112,0.9272727272727272,0.9397260273972603,0.9666666666666667
Sage (BSB),Germany,Funder info,0.5,0.2,0.3979591836734694,0.41046831955922863,0.37765205091937765,0.398970398970399,0.44155844155844154,0.4547945205479452,0.4888888888888889
Sage (BSB),Germany,Open Abstracts,1,1,1,0.977961432506887,0.9660537482319661,0.972972972972973,0.977922077922078,0.9794520547945206,0.9888888888888889
Sage (BSB),Germany,Open Citations,1,1,0.9897959183673469,0.9696969696969697,0.9688826025459689,0.954954954954955,0.9701298701298702,0.9684931506849315,0.9666666666666667
Sage (BSB),Global,TDM Support,1,1,1,1,1,1,0.9972296911920476,0.9832981715893109,0.8994378513429107
Sage (BSB),Global,ORCID,0.06923076923076923,0.5069444444444444,0.7677345537757437,0.8307473084230526,0.8707575916780498,0.9037079620580627,0.9119204758412776,0.920182841068917,0.9306683322923173
Sage (BSB),Global,Funder info,0.3076923076923077,0.4618055555555556,0.5034324942791762,0.38806206459784676,0.3905642534412105,0.4224393982945291,0.4131834107390206,0.4073488045007032,0.410368519675203
Sage (BSB),Global,Open Abstracts,0.9692307692307692,0.9895833333333334,0.9782608695652174,0.9434768841038632,0.9537669433645056,0.9564050972501676,0.9619489937260653,0.9636954992967651,0.9756402248594629
Sage (BSB),Global,Open Citations,0.9769230769230769,0.9826388888888888,0.9736842105263158,0.9479100696643445,0.9538720184932227,0.9530516431924883,0.9561639370976941,0.9543776371308017,0.9693941286695815
RSC (TIB),Germany,TDM Support,0,0,0,0,0,0,0,0,0
RSC (TIB),Germany,ORCID,0.943089430894309,0.9692307692307692,0.9568527918781726,0.95991091314031185,0.9765957446808511,0.9752851711026616,0.9775051124744376,0.9790301441677588,0.9709762532981531
RSC (TIB),Germany,Funder info,0.5528455284552846,0.8076923076923077,0.8197969543147208,0.844097995545657,0.8553191489361702,0.8726235741444867,0.8957055214723927,0.8741808650065531,0.8812664907651715
RSC (TIB),Germany,Open Abstracts,1,1,1,1,1,1,1,1,1
RSC (TIB),Germany,Open Citations,0.967479674796748,0.9653846153846154,0.9517766497461929,0.95991091314031185,0.9765957446808511,0.9752851711026616,0.9815950920245399,0.9790301441677588,0.9736147757255936
RSC (TIB),Global,TDM Support,0,0,0,0,0,0,0,0,0
RSC (TIB),Global,ORCID,0.9113149847094801,0.8451739343459088,0.8533173461231015,0.8602941176470589,0.8920056100981767,0.896797153024911,0.9181652859163467,0.9351253942033338,0.9017454402824083
RSC (TIB),Global,Funder info,0.6009174311926605,0.7515923566878981,0.7557953637090328,0.7689950980392157,0.8005610098176719,0.8581596339603457,0.8947262073146091,0.8956299744706412,0.8570307903510492
RSC (TIB),Global,Open Abstracts,1,0.9990200881920627,1,1,1,1,1,1,0.9998038831143361
RSC (TIB),Global,Open Citations,0.9373088685015291,0.8392944634982852,0.8497202238209433,0.8636642156862745,0.891164095371669,0.8952719877986782,0.9171549808042029,0.937828502778195,0.9039027260247108
AIP (TIB),Germany,TDM Support,1,1,0.9850746268656716,1,1,1,1,1,0.38578680203045684
AIP (TIB),Germany,ORCID,0.5584415584415584,0.6025641025641025,0.7014925373134329,0.8875,0.9298780487804879,0.9533799533799534,0.9774590163934426,0.9555984555984556,0.9847715736040609
AIP (TIB),Germany,Funder info,0.5324675324675324,0.7435897435897436,0.8059701492537313,0.78125,0.7560975609756098,0.8018648018648019,0.7663934426229508,0.7760617760617761,0.8121827411167513
AIP (TIB),Germany,Open Abstracts,0.948051948051948,1,0.9701492537313433,0.99375,0.9664634146341463,0.9743589743589743,0.9815573770491803,0.9575289575289575,1
AIP (TIB),Germany,Open Citations,1,1,1,1,1,1,1,0.9980694980694981,1
AIP (TIB),Global,TDM Support,0.9932795698924731,0.9985855728429985,0.9986431478968792,1,1,1,1,0.9997892518440463,0.3805687203791469
