cr_year,jn_all,cc,cc_total,prop
2017,637,CC BY,22,0.03453689167974882
2017,637,CC BY-SA,0,0
2017,637,CC BY-NC,0,0
2017,637,CC BY-NC-SA,1,0.0015698587127158557
2017,637,CC BY-ND,0,0
2017,637,CC BY-NC-ND,1,0.0015698587127158557
2018,733,CC BY,32,0.04365620736698499
2018,733,CC BY-SA,0,0
2018,733,CC BY-NC,1,0.001364256480218281
2018,733,CC BY-NC-SA,1,0.001364256480218281
2018,733,CC BY-ND,0,0
2018,733,CC BY-NC-ND,3,0.004092769440654843
2019,609,CC BY,190,0.31198686371100165
2019,609,CC BY-SA,0,0
2019,609,CC BY-NC,1,0.0016420361247947454
2019,609,CC BY-NC-SA,8,0.013136288998357963
2019,609,CC BY-ND,0,0
2019,609,CC BY-NC-ND,11,0.0180623973727422
2020,738,CC BY,260,0.3523035230352303
2020,738,CC BY-SA,0,0
2020,738,CC BY-NC,0,0
2020,738,CC BY-NC-SA,22,0.02981029810298103
2020,738,CC BY-ND,0,0
2020,738,CC BY-NC-ND,24,0.032520325203252036
2021,768,CC BY,369,0.48046875
2021,768,CC BY-SA,0,0
2021,768,CC BY-NC,1,0.0013020833333333333
2021,768,CC BY-NC-SA,18,0.0234375
2021,768,CC BY-ND,0,0
2021,768,CC BY-NC-ND,24,0.03125
2022,726,CC BY,406,0.559228650137741
2022,726,CC BY-SA,3,0.004132231404958678
2022,726,CC BY-NC,10,0.013774104683195593
2022,726,CC BY-NC-SA,21,0.028925619834710745
2022,726,CC BY-ND,0,0
2022,726,CC BY-NC-ND,22,0.030303030303030304
2023,775,CC BY,433,0.5587096774193548
2023,775,CC BY-SA,5,0.0064516129032258064
2023,775,CC BY-NC,16,0.02064516129032258
2023,775,CC BY-NC-SA,20,0.025806451612903226
2023,775,CC BY-ND,1,0.0012903225806451613
2023,775,CC BY-NC-ND,25,0.03225806451612903
2024,483,CC BY,339,0.7018633540372671
2024,483,CC BY-SA,4,0.008281573498964804
2024,483,CC BY-NC,13,0.026915113871635612
2024,483,CC BY-NC-SA,9,0.018633540372670808
2024,483,CC BY-ND,0,0
2024,483,CC BY-NC-ND,13,0.026915113871635612
2025,98,CC BY,73,0.7448979591836735
2025,98,CC BY-SA,1,0.01020408163265306
2025,98,CC BY-NC,1,0.01020408163265306
2025,98,CC BY-NC-SA,2,0.02040816326530612
2025,98,CC BY-ND,1,0.01020408163265306
2025,98,CC BY-NC-ND,3,0.030612244897959183
