cr_year,cc,cc_total,jn_all,prop
2017,CC BY,538,24655,0.021821131616305008
2017,CC BY-SA,0,NA,0
2017,CC BY-NC,0,NA,0
2017,CC BY-NC-SA,30,24655,0.0012167917258162643
2017,CC BY-ND,0,NA,0
2017,CC BY-NC-ND,20,24655,8.111944838775097e-4
2018,CC BY,749,25687,0.029158718417876747
2018,CC BY-SA,0,NA,0
2018,CC BY-NC,2,25687,7.786039630941721e-5
2018,CC BY-NC-SA,34,25687,0.0013236267372600927
2018,CC BY-ND,0,NA,0
2018,CC BY-NC-ND,55,25687,0.0021411608985089734
2019,CC BY,1181,25704,0.045946156240273886
2019,CC BY-SA,0,NA,0
2019,CC BY-NC,3,25704,1.1671335200746966e-4
2019,CC BY-NC-SA,68,25704,0.0026455026455026454
2019,CC BY-ND,0,NA,0
2019,CC BY-NC-ND,91,25704,0.003540305010893246
2020,CC BY,3211,27512,0.11671270718232044
2020,CC BY-SA,0,NA,0
2020,CC BY-NC,4,27512,1.4539110206455364e-4
2020,CC BY-NC-SA,137,27512,0.004979645245710962
2020,CC BY-ND,0,NA,0
2020,CC BY-NC-ND,203,27512,0.007378598429776098
2021,CC BY,4955,26403,0.1876680680225732
2021,CC BY-SA,0,NA,0
2021,CC BY-NC,17,26403,6.438662273226528e-4
2021,CC BY-NC-SA,228,26403,0.008635382342915578
2021,CC BY-ND,1,26403,3.7874483960156045e-5
2021,CC BY-NC-ND,362,26403,0.013710563193576487
2022,CC BY,7350,24070,0.3053593685085168
2022,CC BY-SA,14,24070,5.816368923971749e-4
2022,CC BY-NC,61,24070,0.0025342750311591195
2022,CC BY-NC-SA,235,24070,0.009763190693809721
2022,CC BY-ND,6,24070,2.4927295388450354e-4
2022,CC BY-NC-ND,416,24070,0.017282924802658913
2023,CC BY,8553,24235,0.35291933154528576
2023,CC BY-SA,33,24235,0.0013616670105219724
2023,CC BY-NC,123,24235,0.005075304311945534
2023,CC BY-NC-SA,290,24235,0.011966164637920364
2023,CC BY-ND,12,24235,4.951516401898082e-4
2023,CC BY-NC-ND,460,24235,0.018980812873942644
2024,CC BY,8514,20677,0.41176186100498136
2024,CC BY-SA,24,20677,0.0011607099675968468
2024,CC BY-NC,219,20677,0.010591478454321226
2024,CC BY-NC-SA,302,20677,0.014605600425593656
2024,CC BY-ND,19,20677,9.188953910141703e-4
2024,CC BY-NC-ND,497,20677,0.024036368912318036
2025,CC BY,2647,5644,0.46899362154500357
2025,CC BY-SA,8,5644,0.001417434443656981
2025,CC BY-NC,80,5644,0.014174344436569808
2025,CC BY-NC-SA,66,5644,0.011693834160170093
2025,CC BY-ND,6,5644,0.0010630758327427356
2025,CC BY-NC-ND,191,5644,0.03384124734231042
