cr_year,cat,article_total,name,oa_articles,oa_share
2017,Germany,637,Crossref,24,0.03767660910518053
2017,Germany,637,Unpaywall,23,0.03610675039246468
2018,Germany,733,Crossref,37,0.0504774897680764
2018,Germany,733,Unpaywall,39,0.05320600272851296
2019,Germany,609,Crossref,210,0.3448275862068966
2019,Germany,609,Unpaywall,167,0.2742200328407225
2020,Germany,738,Crossref,306,0.4146341463414634
2020,Germany,738,Unpaywall,302,0.4092140921409214
2021,Germany,768,Crossref,412,0.5364583333333334
2021,Germany,768,Unpaywall,402,0.5234375
2022,Germany,726,Crossref,462,0.6363636363636364
2022,Germany,726,Unpaywall,437,0.6019283746556474
2023,Germany,775,Crossref,500,0.6451612903225806
2023,Germany,775,Unpaywall,443,0.5716129032258065
2024,Germany,483,Crossref,378,0.782608695652174
2024,Germany,483,Unpaywall,281,0.5817805383022774
2025,Germany,98,Crossref,81,0.826530612244898
2025,Germany,98,Unpaywall,7,0.07142857142857142
