cr_year,cat,article_total,name,oa_articles,oa_share
2017,Global,24710,Crossref,589,0.023836503439902873
2017,Global,24710,Unpaywall,769,0.0311210036422501
2018,Global,25747,Crossref,839,0.032586320736396474
2018,Global,25747,Unpaywall,1042,0.04047073445449955
2019,Global,25754,Crossref,1344,0.05218606818358313
2019,Global,25754,Unpaywall,1496,0.05808806399005979
2020,Global,27561,Crossref,3557,0.12905917782373644
2020,Global,27561,Unpaywall,3678,0.13344943942527485
2021,Global,26459,Crossref,5585,0.21108129558940247
2021,Global,26459,Unpaywall,5638,0.21308439472391247
2022,Global,24110,Crossref,8123,0.33691414350891746
2022,Global,24110,Unpaywall,7723,0.3203235172127748
2023,Global,24325,Crossref,9515,0.39116135662898255
2023,Global,24325,Unpaywall,8878,0.3649743062692703
2024,Global,21903,Crossref,10169,0.4642743003241565
2024,Global,21903,Unpaywall,9135,0.4170661553211889
2025,Global,23713,Crossref,12951,0.5461561168979041
2025,Global,23713,Unpaywall,10778,0.45451861847931513
2026,Global,10601,Crossref,6159,0.5809829261390435
2026,Global,10601,Unpaywall,4978,0.4695783416658806
