esac_publisher,cat,name,2017,2018,2019,2020,2021,2022,2023,2024,2025
CUP (BSB),Germany,TDM Support,0,0.02702702702702703,0.004761904761904762,0,0,0,0,0,0
CUP (BSB),Germany,ORCID,0.16666666666666666,0.32432432432432434,0.5761904761904761,0.6895424836601307,0.8106796116504854,0.8008658008658008,0.8083832335329342,0.8842105263157894,0.9119170984455959
CUP (BSB),Germany,Funder info,0,0,0,0,0.15048543689320387,0.2554112554112554,0.22554890219560877,0.23157894736842105,0.16580310880829016
CUP (BSB),Germany,Open Abstracts,0.9583333333333334,0.972972972972973,0.9666666666666667,0.9705882352941176,0.9684466019417476,0.9761904761904762,0.9820359281437125,0.9763157894736842,0.9844559585492227
CUP (BSB),Germany,Open Citations,0.9583333333333334,1,0.9809523809523809,0.9640522875816994,0.9757281553398058,0.9458874458874459,0.8762475049900199,0.9052631578947369,0.8393782383419689
CUP (BSB),Global,TDM Support,0.00510204081632653,0.011904761904761904,0.00819672131147541,0.0025352112676056337,0,0.004458756502353232,0.0016943767870380175,0.0014014014014014013,7.918552036199095e-4
CUP (BSB),Global,ORCID,0.20238095238095238,0.3535714285714286,0.6289120715350224,0.6966197183098591,0.7666187567373338,0.7809016596482536,0.810229799851742,0.844944944944945,0.8849547511312217
CUP (BSB),Global,Funder info,0.0017006802721088435,0.010714285714285714,0.0029806259314456036,5.633802816901409e-4,0.10168882500898312,0.21773594253158285,0.15715344699777614,0.16306306306306306,0.12160633484162896
CUP (BSB),Global,Open Abstracts,0.9727891156462585,0.9642857142857143,0.9515648286140089,0.8549295774647887,0.9527488321954725,0.9530592023780035,0.949592290585619,0.9480480480480481,0.9352941176470588
CUP (BSB),Global,Open Citations,0.9880952380952381,0.9857142857142858,0.9769001490312966,0.9746478873239437,0.9694574200503054,0.9223433242506812,0.8550248861590596,0.7661661661661662,0.739027149321267
