cr_year,jn_all,cc,cc_total,prop
2017,216,CC BY,0,0
2017,216,CC BY-SA,0,0
2017,216,CC BY-NC,0,0
2017,216,CC BY-NC-SA,0,0
2017,216,CC BY-ND,0,0
2017,216,CC BY-NC-ND,8,0.037037037037037035
2018,215,CC BY,0,0
2018,215,CC BY-SA,0,0
2018,215,CC BY-NC,0,0
2018,215,CC BY-NC-SA,0,0
2018,215,CC BY-ND,0,0
2018,215,CC BY-NC-ND,1,0.004651162790697674
2019,257,CC BY,4,0.01556420233463035
2019,257,CC BY-SA,0,0
2019,257,CC BY-NC,0,0
2019,257,CC BY-NC-SA,0,0
2019,257,CC BY-ND,0,0
2019,257,CC BY-NC-ND,7,0.027237354085603113
2020,254,CC BY,9,0.03543307086614173
2020,254,CC BY-SA,0,0
2020,254,CC BY-NC,0,0
2020,254,CC BY-NC-SA,0,0
2020,254,CC BY-ND,0,0
2020,254,CC BY-NC-ND,1,0.003937007874015748
2021,289,CC BY,18,0.06228373702422145
2021,289,CC BY-SA,0,0
2021,289,CC BY-NC,0,0
2021,289,CC BY-NC-SA,0,0
2021,289,CC BY-ND,0,0
2021,289,CC BY-NC-ND,0,0
2022,261,CC BY,138,0.5287356321839081
2022,261,CC BY-SA,0,0
2022,261,CC BY-NC,0,0
2022,261,CC BY-NC-SA,0,0
2022,261,CC BY-ND,0,0
2022,261,CC BY-NC-ND,3,0.011494252873563218
2023,157,CC BY,78,0.4968152866242038
2023,157,CC BY-SA,0,0
2023,157,CC BY-NC,0,0
2023,157,CC BY-NC-SA,0,0
2023,157,CC BY-ND,0,0
2023,157,CC BY-NC-ND,0,0
