cr_year,cc,cc_total,jn_all,prop
2017,CC BY,3,2424,0.0012376237623762376
2017,CC BY-SA,0,NA,0
2017,CC BY-NC,0,NA,0
2017,CC BY-NC-SA,0,NA,0
2017,CC BY-ND,0,NA,0
2017,CC BY-NC-ND,18,2424,0.007425742574257425
2018,CC BY,17,2269,0.00749228735125606
2018,CC BY-SA,0,NA,0
2018,CC BY-NC,0,NA,0
2018,CC BY-NC-SA,0,NA,0
2018,CC BY-ND,0,NA,0
2018,CC BY-NC-ND,33,2269,0.014543851917144116
2019,CC BY,39,2316,0.01683937823834197
2019,CC BY-SA,0,NA,0
2019,CC BY-NC,0,NA,0
2019,CC BY-NC-SA,0,NA,0
2019,CC BY-ND,0,NA,0
2019,CC BY-NC-ND,66,2316,0.02849740932642487
2020,CC BY,242,2451,0.09873521011831905
2020,CC BY-SA,0,NA,0
2020,CC BY-NC,2,2451,8.159934720522236e-4
2020,CC BY-NC-SA,0,NA,0
2020,CC BY-ND,0,NA,0
2020,CC BY-NC-ND,24,2451,0.009791921664626682
2021,CC BY,288,2357,0.12218922358930845
2021,CC BY-SA,0,NA,0
2021,CC BY-NC,0,NA,0
2021,CC BY-NC-SA,0,NA,0
2021,CC BY-ND,0,NA,0
2021,CC BY-NC-ND,8,2357,0.0033941450997030122
2022,CC BY,480,2382,0.20151133501259447
2022,CC BY-SA,0,NA,0
2022,CC BY-NC,0,NA,0
2022,CC BY-NC-SA,0,NA,0
2022,CC BY-ND,0,NA,0
2022,CC BY-NC-ND,5,2382,0.0020990764063811922
2023,CC BY,158,867,0.18223760092272204
2023,CC BY-SA,0,NA,0
2023,CC BY-NC,0,NA,0
2023,CC BY-NC-SA,0,NA,0
2023,CC BY-ND,0,NA,0
2023,CC BY-NC-ND,0,NA,0
