country_name_fct,cr_year,articles,cc_total,prop
United States,'17,317,2,0.006309148264984227
United States,'18,302,4,0.013245033112582781
United States,'19,291,9,0.030927835051546393
United States,'20,313,22,0.07028753993610223
United States,'21,277,11,0.039711191335740074
United States,'22,301,24,0.07973421926910298
United States,'23,159,12,0.07547169811320754
Germany,'17,214,8,0.037383177570093455
Germany,'18,214,1,0.004672897196261682
Germany,'19,257,11,0.042801556420233464
Germany,'20,254,10,0.03937007874015748
Germany,'21,288,18,0.0625
Germany,'22,261,141,0.5402298850574713
Germany,'23,147,67,0.4557823129251701
China,'17,88,0,0
China,'18,108,0,0
China,'19,126,0,0
China,'20,160,8,0.05
China,'21,155,7,0.04516129032258064
China,'22,216,10,0.046296296296296294
China,'23,96,2,0.020833333333333332
United Kingdom,'17,122,3,0.02459016393442623
United Kingdom,'18,123,4,0.032520325203252036
United Kingdom,'19,128,9,0.0703125
United Kingdom,'20,135,17,0.1259259259259259
United Kingdom,'21,151,51,0.33774834437086093
United Kingdom,'22,138,53,0.38405797101449274
United Kingdom,'23,55,28,0.509090909090909
Italy,'17,84,0,0
Italy,'18,96,0,0
Italy,'19,92,1,0.010869565217391304
Italy,'20,98,24,0.24489795918367346
Italy,'21,81,33,0.4074074074074074
Italy,'22,103,32,0.3106796116504854
Italy,'23,69,5,0.07246376811594203
Spain,'17,68,1,0.014705882352941176
Spain,'18,74,0,0
Spain,'19,62,2,0.03225806451612903
Spain,'20,67,8,0.11940298507462686
Spain,'21,81,3,0.037037037037037035
Spain,'22,78,10,0.1282051282051282
Spain,'23,38,4,0.10526315789473684
France,'17,75,0,0
France,'18,66,1,0.015151515151515152
France,'19,53,1,0.018867924528301886
France,'20,68,1,0.014705882352941176
France,'21,60,3,0.05
France,'22,80,7,0.0875
France,'23,28,3,0.10714285714285714
Canada,'17,56,0,0
Canada,'18,41,0,0
Canada,'19,54,0,0
Canada,'20,44,5,0.11363636363636363
Canada,'21,52,0,0
Canada,'22,56,1,0.017857142857142856
Canada,'23,22,2,0.09090909090909091
Netherlands,'17,46,1,0.021739130434782608
Netherlands,'18,47,10,0.2127659574468085
Netherlands,'19,47,8,0.1702127659574468
Netherlands,'20,52,38,0.7307692307692307
Netherlands,'21,49,34,0.6938775510204082
Netherlands,'22,59,45,0.7627118644067796
Netherlands,'23,17,13,0.7647058823529411
Belgium,'17,52,1,0.019230769230769232
Belgium,'18,45,0,0
Belgium,'19,45,1,0.022222222222222223
Belgium,'20,56,2,0.03571428571428571
Belgium,'21,49,3,0.061224489795918366
Belgium,'22,43,4,0.09302325581395349
Belgium,'23,25,1,0.04
Austria,'17,41,1,0.024390243902439025
Austria,'18,42,3,0.07142857142857142
Austria,'19,47,6,0.1276595744680851
Austria,'20,54,24,0.4444444444444444
Austria,'21,52,28,0.5384615384615384
Austria,'22,46,29,0.6304347826086957
Austria,'23,29,14,0.4827586206896552
Australia,'17,41,0,0
Australia,'18,52,0,0
Australia,'19,38,4,0.10526315789473684
Australia,'20,36,2,0.05555555555555555
Australia,'21,51,6,0.11764705882352941
Australia,'22,48,11,0.22916666666666666
Australia,'23,16,7,0.4375
Poland,'17,20,0,0
Poland,'18,39,2,0.05128205128205128
Poland,'19,40,1,0.025
Poland,'20,45,4,0.08888888888888889
Poland,'21,44,6,0.13636363636363635
Poland,'22,44,4,0.09090909090909091
Poland,'23,36,4,0.1111111111111111
Switzerland,'17,44,0,0
Switzerland,'18,36,0,0
Switzerland,'19,37,0,0
Switzerland,'20,41,4,0.0975609756097561
Switzerland,'21,42,7,0.16666666666666666
Switzerland,'22,37,16,0.43243243243243246
Switzerland,'23,14,5,0.35714285714285715
Sweden,'17,28,4,0.14285714285714285
Sweden,'18,35,17,0.4857142857142857
Sweden,'19,29,18,0.6206896551724138
Sweden,'20,40,36,0.9
Sweden,'21,24,22,0.9166666666666666
Sweden,'22,25,20,0.8
Sweden,'23,18,16,0.8888888888888888
Japan,'17,17,0,0
Japan,'18,25,0,0
Japan,'19,26,2,0.07692307692307693
Japan,'20,34,3,0.08823529411764706
Japan,'21,29,5,0.1724137931034483
Japan,'22,45,3,0.06666666666666667
Japan,'23,20,0,0
Israel,'17,29,0,0
Israel,'18,22,0,0
Israel,'19,30,1,0.03333333333333333
Israel,'20,31,3,0.0967741935483871
Israel,'21,36,2,0.05555555555555555
Israel,'22,29,4,0.13793103448275862
Israel,'23,16,2,0.125
Finland,'17,20,0,0
Finland,'18,19,1,0.05263157894736842
Finland,'19,25,3,0.12
Finland,'20,31,8,0.25806451612903225
Finland,'21,34,4,0.11764705882352941
Finland,'22,35,2,0.05714285714285714
Finland,'23,10,1,0.1
Denmark,'17,19,0,0
Denmark,'18,26,0,0
Denmark,'19,20,0,0
Denmark,'20,25,2,0.08
Denmark,'21,27,0,0
Denmark,'22,28,4,0.14285714285714285
Denmark,'23,8,1,0.125
Norway,'17,14,0,0
Norway,'18,15,0,0
Norway,'19,22,5,0.22727272727272727
Norway,'20,24,6,0.25
Norway,'21,28,18,0.6428571428571429
Norway,'22,14,7,0.5
Norway,'23,21,14,0.6666666666666666
Other,'17,226,1,0.004424778761061947
Other,'18,264,6,0.022727272727272728
Other,'19,276,10,0.036231884057971016
Other,'20,304,36,0.11842105263157894
Other,'21,340,31,0.09117647058823529
Other,'22,336,39,0.11607142857142858
Other,'23,193,28,0.14507772020725387
