cr_year,cat,article_total,name,oa_articles,oa_share
2017,Germany,224,Crossref,8,0.03571428571428571
2017,Germany,224,Unpaywall,1,0.004464285714285714
2018,Germany,260,Crossref,1,0.0038461538461538464
2018,Germany,260,Unpaywall,1,0.0038461538461538464
2019,Germany,285,Crossref,11,0.03859649122807018
2019,Germany,285,Unpaywall,3,0.010526315789473684
2020,Germany,281,Crossref,11,0.03914590747330961
2020,Germany,281,Unpaywall,9,0.03202846975088968
2021,Germany,320,Crossref,20,0.0625
2021,Germany,320,Unpaywall,20,0.0625
2022,Germany,286,Crossref,142,0.4965034965034965
2022,Germany,286,Unpaywall,137,0.479020979020979
2023,Germany,300,Crossref,153,0.51
2023,Germany,300,Unpaywall,117,0.39
2024,Germany,245,Crossref,134,0.5469387755102041
2024,Germany,245,Unpaywall,62,0.2530612244897959
