esac_publisher,cat,name,2017,2018,2019,2020,2021,2022,2023,2024
De Gruyter (SUB Göttingen),Germany,TDM Support,1,1,1,1,1,1,1,1
De Gruyter (SUB Göttingen),Germany,ORCID,0,0,0,0.2,0.15,0.18309859154929578,0.19607843137254902,0.2537313432835821
De Gruyter (SUB Göttingen),Germany,Funder info,0,0,0.2727272727272727,0.1,0.15,0.1056338028169014,0.09803921568627451,0.13432835820895522
De Gruyter (SUB Göttingen),Germany,Open Abstracts,1,1,1,0.8,0.75,0.676056338028169,0.6078431372549019,0.7014925373134329
De Gruyter (SUB Göttingen),Germany,Open Citations,1,1,1,0.7,0.65,0.6126760563380281,0.5424836601307189,0.6417910447761194
De Gruyter (SUB Göttingen),Global,TDM Support,1,1,1,1,1,1,1,1
De Gruyter (SUB Göttingen),Global,ORCID,0,0.0196078431372549,0.10377358490566038,0.2074074074074074,0.2857142857142857,0.2923387096774194,0.2862523540489642,0.406380027739251
De Gruyter (SUB Göttingen),Global,Funder info,0.045454545454545456,0,0.05660377358490566,0.14444444444444443,0.15584415584415584,0.14516129032258066,0.1393596986817326,0.18585298196948682
De Gruyter (SUB Göttingen),Global,Open Abstracts,1,0.8627450980392157,0.8018867924528302,0.8481481481481481,0.8181818181818182,0.7782258064516129,0.7570621468926554,0.8363384188626907
De Gruyter (SUB Göttingen),Global,Open Citations,1,0.8431372549019608,0.8301886792452831,0.774074074074074,0.7857142857142857,0.719758064516129,0.6930320150659134,0.7669902912621359
