cr_year,jn_all,cc,cc_total,prop
2017,84,CC BY,0,0
2017,84,CC BY-SA,0,0
2017,84,CC BY-NC,0,0
2017,84,CC BY-NC-SA,0,0
2017,84,CC BY-ND,0,0
2017,84,CC BY-NC-ND,0,0
2018,123,CC BY,50,0.4065040650406504
2018,123,CC BY-SA,0,0
2018,123,CC BY-NC,0,0
2018,123,CC BY-NC-SA,0,0
2018,123,CC BY-ND,0,0
2018,123,CC BY-NC-ND,22,0.17886178861788618
2019,110,CC BY,66,0.6
2019,110,CC BY-SA,0,0
2019,110,CC BY-NC,0,0
2019,110,CC BY-NC-SA,0,0
2019,110,CC BY-ND,0,0
2019,110,CC BY-NC-ND,21,0.19090909090909092
2020,120,CC BY,66,0.55
2020,120,CC BY-SA,0,0
2020,120,CC BY-NC,0,0
2020,120,CC BY-NC-SA,0,0
2020,120,CC BY-ND,0,0
2020,120,CC BY-NC-ND,18,0.15
2021,98,CC BY,60,0.6122448979591837
2021,98,CC BY-SA,0,0
2021,98,CC BY-NC,0,0
2021,98,CC BY-NC-SA,0,0
2021,98,CC BY-ND,0,0
2021,98,CC BY-NC-ND,16,0.16326530612244897
2022,96,CC BY,64,0.6666666666666666
2022,96,CC BY-SA,0,0
2022,96,CC BY-NC,0,0
2022,96,CC BY-NC-SA,0,0
2022,96,CC BY-ND,0,0
2022,96,CC BY-NC-ND,15,0.15625
2023,78,CC BY,58,0.7435897435897436
2023,78,CC BY-SA,0,0
2023,78,CC BY-NC,0,0
2023,78,CC BY-NC-SA,0,0
2023,78,CC BY-ND,0,0
2023,78,CC BY-NC-ND,13,0.16666666666666666
