country_name_fct,cr_year,articles,cc_total,prop
China,'17,317,0,0
China,'18,364,60,0.16483516483516483
China,'19,451,70,0.15521064301552107
China,'20,408,87,0.21323529411764705
China,'21,438,57,0.13013698630136986
China,'22,250,36,0.144
China,'23,99,14,0.1414141414141414
United States,'17,364,0,0
United States,'18,332,187,0.5632530120481928
United States,'19,326,221,0.6779141104294478
United States,'20,378,216,0.5714285714285714
United States,'21,322,168,0.5217391304347826
United States,'22,221,115,0.5203619909502263
United States,'23,91,66,0.7252747252747253
Japan,'17,131,0,0
Japan,'18,112,47,0.41964285714285715
Japan,'19,148,80,0.5405405405405406
Japan,'20,116,54,0.46551724137931033
Japan,'21,137,61,0.44525547445255476
Japan,'22,76,44,0.5789473684210527
Japan,'23,35,22,0.6285714285714286
Germany,'17,80,0,0
Germany,'18,112,67,0.5982142857142857
Germany,'19,98,77,0.7857142857142857
Germany,'20,115,80,0.6956521739130435
Germany,'21,89,69,0.7752808988764045
Germany,'22,80,63,0.7875
Germany,'23,56,46,0.8214285714285714
India,'17,43,0,0
India,'18,80,17,0.2125
India,'19,59,16,0.2711864406779661
India,'20,96,39,0.40625
India,'21,149,14,0.09395973154362416
India,'22,103,4,0.038834951456310676
India,'23,63,1,0.015873015873015872
Canada,'17,65,0,0
Canada,'18,62,38,0.6129032258064516
Canada,'19,68,51,0.75
Canada,'20,81,65,0.8024691358024691
Canada,'21,55,41,0.7454545454545455
Canada,'22,48,38,0.7916666666666666
Canada,'23,26,20,0.7692307692307693
South Korea,'17,67,0,0
South Korea,'18,78,22,0.28205128205128205
South Korea,'19,74,26,0.35135135135135137
South Korea,'20,68,14,0.20588235294117646
South Korea,'21,62,10,0.16129032258064516
South Korea,'22,39,7,0.1794871794871795
South Korea,'23,10,2,0.2
Taiwan,'17,51,0,0
Taiwan,'18,61,21,0.3442622950819672
Taiwan,'19,38,11,0.2894736842105263
Taiwan,'20,57,19,0.3333333333333333
Taiwan,'21,77,10,0.12987012987012986
Taiwan,'22,26,4,0.15384615384615385
Taiwan,'23,12,3,0.25
United Kingdom,'17,33,0,0
United Kingdom,'18,19,14,0.7368421052631579
United Kingdom,'19,33,22,0.6666666666666666
United Kingdom,'20,44,29,0.6590909090909091
United Kingdom,'21,24,15,0.625
United Kingdom,'22,20,17,0.85
United Kingdom,'23,9,6,0.6666666666666666
Iran,'17,26,0,0
Iran,'18,19,0,0
Iran,'19,27,2,0.07407407407407407
Iran,'20,38,5,0.13157894736842105
Iran,'21,33,0,0
Iran,'22,15,0,0
Iran,'23,8,0,0
France,'17,19,0,0
France,'18,22,12,0.5454545454545454
France,'19,21,10,0.47619047619047616
France,'20,44,24,0.5454545454545454
France,'21,28,14,0.5
France,'22,18,7,0.3888888888888889
France,'23,9,3,0.3333333333333333
Turkey,'17,19,0,0
Turkey,'18,18,3,0.16666666666666666
Turkey,'19,22,4,0.18181818181818182
Turkey,'20,34,11,0.3235294117647059
Turkey,'21,29,0,0
Turkey,'22,11,0,0
Turkey,'23,11,0,0
Italy,'17,24,0,0
Italy,'18,20,5,0.25
Italy,'19,14,6,0.42857142857142855
Italy,'20,28,14,0.5
Italy,'21,14,4,0.2857142857142857
Italy,'22,11,4,0.36363636363636365
Italy,'23,2,0,0
Russia,'17,17,0,0
Russia,'18,13,4,0.3076923076923077
Russia,'19,18,7,0.3888888888888889
Russia,'20,22,10,0.45454545454545453
Russia,'21,28,11,0.39285714285714285
Russia,'22,11,4,0.36363636363636365
Russia,'23,4,1,0.25
Egypt,'17,7,0,0
Egypt,'18,13,2,0.15384615384615385
Egypt,'19,14,0,0
Egypt,'20,24,4,0.16666666666666666
Egypt,'21,22,0,0
Egypt,'22,10,1,0.1
Egypt,'23,6,0,0
Switzerland,'17,16,0,0
Switzerland,'18,9,6,0.6666666666666666
Switzerland,'19,14,11,0.7857142857142857
Switzerland,'20,22,15,0.6818181818181818
Switzerland,'21,11,10,0.9090909090909091
Switzerland,'22,9,8,0.8888888888888888
Switzerland,'23,3,2,0.6666666666666666
Sweden,'17,19,0,0
Sweden,'18,7,4,0.5714285714285714
Sweden,'19,11,6,0.5454545454545454
Sweden,'20,12,8,0.6666666666666666
Sweden,'21,8,7,0.875
Sweden,'22,9,7,0.7777777777777778
Sweden,'23,6,6,1
Spain,'17,12,0,0
Spain,'18,15,5,0.3333333333333333
Spain,'19,8,4,0.5
Spain,'20,15,9,0.6
Spain,'21,11,4,0.36363636363636365
Spain,'22,5,4,0.8
Spain,'23,3,2,0.6666666666666666
Israel,'17,14,0,0
Israel,'18,9,4,0.4444444444444444
Israel,'19,12,4,0.3333333333333333
Israel,'20,15,9,0.6
Israel,'21,8,4,0.5
Israel,'22,9,6,0.6666666666666666
Israel,'23,1,1,1
Poland,'17,21,0,0
Poland,'18,10,2,0.2
Poland,'19,17,6,0.35294117647058826
Poland,'20,9,2,0.2222222222222222
Poland,'21,6,2,0.3333333333333333
Poland,'22,3,0,0
Poland,'23,2,1,0.5
Other,'17,165,0,0
Other,'18,167,66,0.39520958083832336
Other,'19,160,67,0.41875
Other,'20,174,76,0.4367816091954023
Other,'21,192,68,0.3541666666666667
Other,'22,151,44,0.2913907284768212
Other,'23,86,32,0.37209302325581395
