cr_year,cat,article_total,name,oa_articles,oa_share
2017,Germany,80,Crossref,0,0
2017,Germany,80,Unpaywall,19,0.2375
2018,Germany,112,Crossref,67,0.5982142857142857
2018,Germany,112,Unpaywall,34,0.30357142857142855
2019,Germany,98,Crossref,77,0.7857142857142857
2019,Germany,98,Unpaywall,17,0.17346938775510204
2020,Germany,115,Crossref,80,0.6956521739130435
2020,Germany,115,Unpaywall,79,0.6869565217391305
2021,Germany,89,Crossref,69,0.7752808988764045
2021,Germany,89,Unpaywall,65,0.7303370786516854
2022,Germany,80,Crossref,63,0.7875
2022,Germany,80,Unpaywall,60,0.75
2023,Germany,56,Crossref,46,0.8214285714285714
2023,Germany,56,Unpaywall,35,0.625
