cr_year,cat,article_total,name,oa_articles,oa_share
2017,Global,1817,Crossref,0,0
2017,Global,1817,Unpaywall,735,0.40451293340671435
2018,Global,1841,Crossref,651,0.35361216730038025
2018,Global,1841,Unpaywall,706,0.38348723519826183
2019,Global,1999,Crossref,815,0.407703851925963
2019,Global,1999,Unpaywall,320,0.16008004002001
2020,Global,2048,Crossref,872,0.42578125
2020,Global,2048,Unpaywall,868,0.423828125
2021,Global,2059,Crossref,630,0.305973773676542
2021,Global,2059,Unpaywall,719,0.34919864011656143
2022,Global,2012,Crossref,520,0.2584493041749503
2022,Global,2012,Unpaywall,565,0.2808151093439364
2023,Global,1640,Crossref,512,0.3121951219512195
2023,Global,1640,Unpaywall,608,0.37073170731707317
2024,Global,866,Crossref,260,0.3002309468822171
2024,Global,866,Unpaywall,674,0.7782909930715936
