cr_year,esac_publisher,collection,articles,oa_articles,oa_prop
2017,ACM (hebis),de,129,0,0
2017,AIP (TIB),de,1092,1,9.157509157509158e-4
2017,BMJ (BSB),de,171,0,0
2017,CUP (BSB),de,597,22,0.03685092127303183
2017,De Gruyter (SUB Göttingen),de,220,8,0.03636363636363636
2017,De Gruyter (ZBW),de,136,7,0.051470588235294115
2017,ECS (TIB),de,87,0,0
2017,Elsevier (DEAL),de,16251,881,0.05421204848932373
2017,Hogrefe (SUB Göttingen),de,288,7,0.024305555555555556
2017,IOP (TIB),de,1072,112,0.1044776119402985
2017,Karger (BSB),de,413,14,0.03389830508474576
2017,Nature (MPDL),de,442,4,0.00904977375565611
2017,Portland Press (TIB),de,32,4,0.125
2017,RSC (TIB),de,1436,122,0.08495821727019498
2017,Sage (BSB),de,1382,3,0.002170767004341534
2017,SPIE (TIB),de,42,0,0
2017,Springer Hybrid (DEAL),de,13574,1001,0.07374392220421394
2017,TaylorFrancis (ZBW),de,553,40,0.07233273056057866
2017,Thieme (ZB MED),de,74,1,0.013513513513513514
2017,Wiley Hybrid (DEAL),de,10438,532,0.05096761831768538
2018,ACM (hebis),de,146,0,0
2018,AIP (TIB),de,950,0,0
2018,BMJ (BSB),de,154,1,0.006493506493506494
2018,CUP (BSB),de,654,31,0.047400611620795105
2018,De Gruyter (SUB Göttingen),de,238,1,0.004201680672268907
2018,De Gruyter (ZBW),de,138,8,0.057971014492753624
2018,ECS (TIB),de,130,75,0.5769230769230769
2018,Elsevier (DEAL),de,16228,1054,0.06494947005176238
2018,Hogrefe (SUB Göttingen),de,320,8,0.025
2018,IOP (TIB),de,927,172,0.1855447680690399
2018,Karger (BSB),de,425,13,0.03058823529411765
2018,Nature (MPDL),de,525,7,0.013333333333333334
2018,Portland Press (TIB),de,35,8,0.22857142857142856
2018,RSC (TIB),de,1338,260,0.19431988041853512
2018,Sage (BSB),de,1375,10,0.007272727272727273
2018,SPIE (TIB),de,37,0,0
2018,Springer Hybrid (DEAL),de,13567,1134,0.08358516989754551
2018,TaylorFrancis (ZBW),de,514,57,0.11089494163424124
2018,Thieme (ZB MED),de,82,3,0.036585365853658534
2018,Wiley Hybrid (DEAL),de,10838,694,0.06403395460417051
2019,ACM (hebis),de,161,0,0
2019,AIP (TIB),de,917,0,0
2019,BMJ (BSB),de,162,17,0.10493827160493827
2019,CUP (BSB),de,578,201,0.3477508650519031
2019,De Gruyter (SUB Göttingen),de,265,11,0.04150943396226415
2019,De Gruyter (ZBW),de,168,29,0.17261904761904762
2019,ECS (TIB),de,115,90,0.782608695652174
2019,Elsevier (DEAL),de,15666,1232,0.07864164432529044
2019,Hogrefe (SUB Göttingen),de,346,26,0.07514450867052024
2019,IOP (TIB),de,815,296,0.36319018404907977
2019,Karger (BSB),de,407,14,0.0343980343980344
2019,Nature (MPDL),de,574,4,0.006968641114982578
2019,Portland Press (TIB),de,48,10,0.20833333333333334
2019,RSC (TIB),de,1335,394,0.2951310861423221
2019,Sage (BSB),de,1438,99,0.06884561891515995
2019,SPIE (TIB),de,38,0,0
2019,Springer Hybrid (DEAL),de,13539,1308,0.09660979392865056
2019,TaylorFrancis (ZBW),de,567,92,0.16225749559082892
2019,Thieme (ZB MED),de,84,10,0.11904761904761904
2019,Wiley Hybrid (DEAL),de,10358,3788,0.36570766557250434
2020,ACM (hebis),de,157,0,0
2020,AIP (TIB),de,874,0,0
2020,BMJ (BSB),de,192,42,0.21875
2020,CUP (BSB),de,696,292,0.41954022988505746
2020,De Gruyter (SUB Göttingen),de,255,10,0.0392156862745098
2020,De Gruyter (ZBW),de,120,12,0.1
2020,ECS (TIB),de,123,85,0.6910569105691057
2020,Elsevier (DEAL),de,14819,1592,0.1074296511235576
2020,Hogrefe (SUB Göttingen),de,357,34,0.09523809523809523
2020,IOP (TIB),de,840,399,0.475
2020,Karger (BSB),de,497,92,0.1851106639839034
2020,Nature (MPDL),de,534,11,0.020599250936329586
2020,Portland Press (TIB),de,34,18,0.5294117647058824
2020,RSC (TIB),de,1270,450,0.3543307086614173
2020,Sage (BSB),de,1487,370,0.2488231338264963
2020,SPIE (TIB),de,31,0,0
2020,Springer Hybrid (DEAL),de,14815,8693,0.5867701653729328
2020,TaylorFrancis (ZBW),de,584,107,0.1832191780821918
2020,Thieme (ZB MED),de,72,9,0.125
2020,Wiley Hybrid (DEAL),de,11472,8674,0.7561018131101813
2021,ACM (hebis),de,189,0,0
2021,AIP (TIB),de,818,0,0
2021,BMJ (BSB),de,180,83,0.46111111111111114
2021,CUP (BSB),de,724,384,0.5303867403314917
2021,De Gruyter (SUB Göttingen),de,295,18,0.061016949152542375
2021,De Gruyter (ZBW),de,128,18,0.140625
2021,ECS (TIB),de,103,79,0.7669902912621359
2021,Elsevier (DEAL),de,15059,2456,0.16309183876751443
2021,Hogrefe (SUB Göttingen),de,368,151,0.41032608695652173
2021,IOP (TIB),de,728,468,0.6428571428571429
2021,Karger (BSB),de,454,127,0.27973568281938327
2021,Nature (MPDL),de,608,151,0.24835526315789475
2021,Portland Press (TIB),de,48,31,0.6458333333333334
2021,RSC (TIB),de,1200,474,0.395
2021,Sage (BSB),de,1479,717,0.4847870182555781
2021,SPIE (TIB),de,34,0,0
2021,Springer Hybrid (DEAL),de,16074,11135,0.6927336070673137
2021,TaylorFrancis (ZBW),de,588,175,0.2976190476190476
2021,Thieme (ZB MED),de,69,21,0.30434782608695654
2021,Wiley Hybrid (DEAL),de,11615,9808,0.844425312096427
2022,ACM (hebis),de,217,0,0
2022,AIP (TIB),de,800,0,0
2022,BMJ (BSB),de,154,69,0.44805194805194803
2022,CUP (BSB),de,684,432,0.631578947368421
2022,De Gruyter (SUB Göttingen),de,264,141,0.5340909090909091
2022,De Gruyter (ZBW),de,130,28,0.2153846153846154
2022,ECS (TIB),de,98,79,0.8061224489795918
2022,Elsevier (DEAL),de,13118,2786,0.21237993596584845
2022,Hogrefe (SUB Göttingen),de,360,215,0.5972222222222222
2022,IOP (TIB),de,668,546,0.8173652694610778
2022,Karger (BSB),de,322,105,0.32608695652173914
2022,Nature (MPDL),de,653,274,0.41960183767228176
2022,Portland Press (TIB),de,24,19,0.7916666666666666
2022,RSC (TIB),de,1066,525,0.4924953095684803
2022,Sage (BSB),de,1507,787,0.522229595222296
2022,SPIE (TIB),de,29,0,0
2022,Springer Hybrid (DEAL),de,13158,10003,0.7602219182246542
2022,TaylorFrancis (ZBW),de,521,161,0.30902111324376197
2022,Thieme (ZB MED),de,51,17,0.3333333333333333
2022,Wiley Hybrid (DEAL),de,9924,8229,0.8292019347037485
2023,ACM (hebis),de,244,0,0
2023,AIP (TIB),de,767,0,0
2023,BMJ (BSB),de,149,75,0.5033557046979866
2023,CUP (BSB),de,713,446,0.6255259467040674
2023,De Gruyter (SUB Göttingen),de,288,146,0.5069444444444444
2023,De Gruyter (ZBW),de,122,69,0.5655737704918032
2023,ECS (TIB),de,100,92,0.92
2023,Elsevier (DEAL),de,12834,3069,0.2391304347826087
2023,Hogrefe (SUB Göttingen),de,381,261,0.6850393700787402
2023,IOP (TIB),de,693,573,0.8268398268398268
2023,Karger (BSB),de,135,42,0.3111111111111111
2023,Nature (MPDL),de,707,359,0.5077793493635078
2023,Portland Press (TIB),de,17,9,0.5294117647058824
2023,RSC (TIB),de,930,487,0.5236559139784946
2023,Sage (BSB),de,1431,803,0.5611460517120894
2023,SPIE (TIB),de,27,0,0
2023,Springer Hybrid (DEAL),de,11784,9371,0.7952308214528174
2023,TaylorFrancis (ZBW),de,453,147,0.32450331125827814
2023,Thieme (ZB MED),de,55,19,0.34545454545454546
2023,Wiley Hybrid (DEAL),de,10296,8837,0.8582944832944833
2024,ACM (hebis),de,28,0,0
2024,AIP (TIB),de,123,0,0
2024,BMJ (BSB),de,16,9,0.5625
2024,CUP (BSB),de,88,65,0.7386363636363636
2024,De Gruyter (SUB Göttingen),de,10,8,0.8
2024,De Gruyter (ZBW),de,5,3,0.6
2024,ECS (TIB),de,10,9,0.9
2024,Elsevier (DEAL),de,3881,1786,0.4601906725070858
2024,Hogrefe (SUB Göttingen),de,80,53,0.6625
2024,IOP (TIB),de,115,82,0.7130434782608696
2024,Karger (BSB),de,6,3,0.5
2024,Nature (MPDL),de,129,70,0.5426356589147286
2024,Portland Press (TIB),de,4,2,0.5
2024,RSC (TIB),de,163,100,0.6134969325153374
2024,Sage (BSB),de,226,135,0.5973451327433629
2024,SPIE (TIB),de,4,0,0
2024,Springer Hybrid (DEAL),de,1632,1287,0.7886029411764706
2024,TaylorFrancis (ZBW),de,88,38,0.4318181818181818
2024,Thieme (ZB MED),de,12,4,0.3333333333333333
2024,Wiley Hybrid (DEAL),de,1501,1173,0.7814790139906729
