cr_year,cc,cc_total,jn_all,prop
2017,CC BY,6622,471265,0.014051542125980076
2017,CC BY-SA,0,NA,0
2017,CC BY-NC,79,471265,1.6763392146669072e-4
2017,CC BY-NC-SA,13,471265,2.7585328848949103e-5
2017,CC BY-ND,0,NA,0
2017,CC BY-NC-ND,7890,471265,0.01674217266293911
2018,CC BY,7134,491169,0.014524532289293502
2018,CC BY-SA,0,NA,0
2018,CC BY-NC,140,491169,2.8503427537161346e-4
2018,CC BY-NC-SA,9,491169,1.832363198817515e-5
2018,CC BY-ND,0,NA,0
2018,CC BY-NC-ND,9535,491169,0.019412870111916673
2019,CC BY,7720,513407,0.015036803160065991
2019,CC BY-SA,0,NA,0
2019,CC BY-NC,159,513407,3.0969581637959746e-4
2019,CC BY-NC-SA,11,513407,2.1425496730663975e-5
2019,CC BY-ND,0,NA,0
2019,CC BY-NC-ND,11745,513407,0.022876587191058947
2020,CC BY,13150,544340,0.024157695557923357
2020,CC BY-SA,0,NA,0
2020,CC BY-NC,153,544340,2.810743285446596e-4
2020,CC BY-NC-SA,17,544340,3.123048094940662e-5
2020,CC BY-ND,0,NA,0
2020,CC BY-NC-ND,14992,544340,0.027541610023147298
2021,CC BY,24850,572978,0.04336990250934591
2021,CC BY-SA,0,NA,0
2021,CC BY-NC,184,572978,3.2112925801688723e-4
2021,CC BY-NC-SA,6,572978,1.0471606239681104e-5
2021,CC BY-ND,0,NA,0
2021,CC BY-NC-ND,21048,572978,0.03673439468880132
2022,CC BY,34544,570089,0.0605940475960771
2022,CC BY-SA,0,NA,0
2022,CC BY-NC,1250,570089,0.0021926400965463287
2022,CC BY-NC-SA,0,NA,0
2022,CC BY-ND,0,NA,0
2022,CC BY-NC-ND,25306,570089,0.04438956022656112
2023,CC BY,45481,580452,0.07835445480418708
2023,CC BY-SA,0,NA,0
2023,CC BY-NC,3077,580452,0.005301041257502774
2023,CC BY-NC-SA,0,NA,0
2023,CC BY-ND,0,NA,0
2023,CC BY-NC-ND,28599,580452,0.04927022389448223
2024,CC BY,66104,650735,0.10158359393608765
2024,CC BY-SA,0,NA,0
2024,CC BY-NC,12840,650735,0.019731534341936426
2024,CC BY-NC-SA,0,NA,0
2024,CC BY-ND,0,NA,0
2024,CC BY-NC-ND,31992,650735,0.049162869678133186
2025,CC BY,58803,472878,0.12435131260071308
2025,CC BY-SA,0,NA,0
2025,CC BY-NC,8894,472878,0.018808233836211455
2025,CC BY-NC-SA,1,472878,2.1147103481236174e-6
2025,CC BY-ND,0,NA,0
2025,CC BY-NC-ND,22986,472878,0.04860873206196947
