cr_year,country_name,cc_total,articles,prop
2017,United Arab Emirates,6,357,0.01680672268907563
2017,Afghanistan,0,4,0
2017,Antigua & Barbuda,0,1,0
2017,Albania,1,14,0.07142857142857142
2017,Armenia,1,62,0.016129032258064516
2017,Angola,0,1,0
2017,Argentina,8,2013,0.003974167908594138
2017,Austria,255,2360,0.10805084745762712
2017,Australia,287,12319,0.023297345563763294
2017,Azerbaijan,0,60,0
2017,Bosnia & Herzegovina,0,52,0
2017,Barbados,0,7,0
2017,Bangladesh,3,338,0.008875739644970414
2017,Belgium,169,3934,0.04295882053889171
2017,Burkina Faso,1,40,0.025
2017,Bulgaria,3,303,0.009900990099009901
2017,Bahrain,1,19,0.05263157894736842
2017,Burundi,0,8,0
2017,Benin,1,27,0.037037037037037035
2017,Brunei,0,22,0
2017,Bolivia,0,17,0
2017,Brazil,79,10703,0.007381108100532561
2017,Bahamas,1,9,0.1111111111111111
2017,Bhutan,0,2,0
2017,Botswana,1,42,0.023809523809523808
2017,Belarus,0,118,0
2017,Belize,0,2,0
2017,Canada,408,12457,0.03275266918198603
2017,Congo - Kinshasa,4,32,0.125
2017,Central African Republic,0,4,0
2017,Congo - Brazzaville,1,16,0.0625
2017,Switzerland,317,4195,0.07556615017878426
2017,Côte d’Ivoire,0,54,0
2017,Chile,12,1377,0.008714596949891068
2017,Cameroon,10,173,0.057803468208092484
2017,China,553,81804,0.0067600606327318956
2017,Colombia,16,989,0.016177957532861477
2017,Costa Rica,1,73,0.0136986301369863
2017,Cuba,0,83,0
2017,Cape Verde,0,1,0
2017,Curaçao,0,1,0
2017,Cyprus,9,313,0.02875399361022364
2017,Czechia,39,2332,0.01672384219554031
2017,Germany,869,16005,0.05429553264604811
2017,Djibouti,0,5,0
2017,Denmark,145,2894,0.050103662750518314
2017,Dominica,0,2,0
2017,Dominican Republic,0,9,0
2017,Algeria,8,1047,0.007640878701050621
2017,Ecuador,4,176,0.022727272727272728
2017,Estonia,5,241,0.02074688796680498
2017,Egypt,21,2463,0.008526187576126675
2017,Eritrea,0,1,0
2017,Spain,263,16112,0.016323237338629594
2017,Ethiopia,11,190,0.05789473684210526
2017,Finland,154,2226,0.06918238993710692
2017,Fiji,0,26,0
2017,Falkland Islands,0,1,0
2017,Faroe Islands,0,7,0
2017,France,280,19067,0.01468505795353228
2017,Gabon,0,7,0
2017,United Kingdom,3718,20354,0.1826667976810455
2017,Grenada,0,18,0
2017,Georgia,4,112,0.03571428571428571
2017,French Guiana,0,9,0
2017,Ghana,3,156,0.019230769230769232
2017,Greenland,0,4,0
2017,Gambia,6,12,0.5
2017,Guinea,0,4,0
2017,Guadeloupe,0,25,0
2017,Greece,15,2426,0.006183017312448475
2017,Guatemala,0,5,0
2017,Guinea-Bissau,0,3,0
2017,Guyana,0,1,0
2017,Honduras,0,9,0
2017,Croatia,13,481,0.02702702702702703
2017,Haiti,0,3,0
2017,Hungary,26,1200,0.021666666666666667
2017,Indonesia,23,494,0.0465587044534413
2017,Ireland,41,1480,0.027702702702702704
2017,Israel,35,2524,0.01386687797147385
2017,India,169,17673,0.009562609630509818
2017,Iraq,11,353,0.031161473087818695
2017,Iran,16,9821,0.0016291619997963547
2017,Iceland,8,110,0.07272727272727272
2017,Italy,409,15221,0.026870770645818276
2017,Jamaica,0,22,0
2017,Jordan,2,240,0.008333333333333333
2017,Japan,538,16710,0.032196289646918015
2017,Kenya,28,149,0.18791946308724833
2017,Kyrgyzstan,0,19,0
2017,Cambodia,2,20,0.1
2017,Kiribati,0,1,0
2017,St. Kitts & Nevis,1,15,0.06666666666666667
2017,South Korea,124,12287,0.01009196711972003
2017,Kuwait,1,138,0.007246376811594203
2017,Kazakhstan,1,125,0.008
2017,Laos,0,3,0
2017,Lebanon,4,356,0.011235955056179775
2017,Liechtenstein,0,18,0
2017,Sri Lanka,5,140,0.03571428571428571
2017,Liberia,0,2,0
2017,Lithuania,7,367,0.01907356948228883
2017,Luxembourg,16,135,0.11851851851851852
2017,Latvia,0,105,0
2017,Libya,1,20,0.05
2017,Morocco,3,905,0.0033149171270718232
2017,Monaco,0,25,0
2017,Moldova,0,36,0
2017,Montenegro,0,24,0
2017,Madagascar,1,21,0.047619047619047616
2017,North Macedonia,0,37,0
2017,Mali,2,14,0.14285714285714285
2017,Myanmar (Burma),1,19,0.05263157894736842
2017,Mongolia,0,16,0
2017,Martinique,0,27,0
2017,Mauritania,0,1,0
2017,Malta,1,61,0.01639344262295082
2017,Mauritius,2,36,0.05555555555555555
2017,Maldives,0,1,0
2017,Malawi,5,26,0.19230769230769232
2017,Mexico,41,2764,0.014833574529667149
2017,Malaysia,28,2725,0.010275229357798165
2017,Mozambique,3,26,0.11538461538461539
2017,Namibia,2,12,0.16666666666666666
2017,New Caledonia,0,11,0
2017,Niger,4,13,0.3076923076923077
2017,Nigeria,11,487,0.022587268993839837
2017,Nicaragua,0,7,0
2017,Netherlands,989,6904,0.14325028968713788
2017,Norway,190,2050,0.09268292682926829
2017,Nepal,3,68,0.04411764705882353
2017,Niue,0,1,0
2017,New Zealand,46,1502,0.03062583222370173
2017,Oman,1,133,0.007518796992481203
2017,Panama,2,34,0.058823529411764705
2017,Peru,7,184,0.03804347826086957
2017,French Polynesia,1,10,0.1
2017,Papua New Guinea,0,7,0
2017,Philippines,6,261,0.022988505747126436
2017,Pakistan,13,1686,0.00771055753262159
2017,Poland,73,4942,0.014771347632537435
2017,Palestinian Territories,2,50,0.04
2017,Portugal,44,3416,0.01288056206088993
2017,Palau,0,2,0
2017,Paraguay,0,15,0
2017,Qatar,4,298,0.013422818791946308
2017,Réunion,0,26,0
2017,Romania,15,867,0.01730103806228374
2017,Serbia,7,863,0.008111239860950173
2017,Russia,31,4492,0.006901157613535174
2017,Rwanda,0,20,0
2017,Saudi Arabia,29,1790,0.016201117318435754
2017,Seychelles,0,2,0
2017,Sudan,2,94,0.02127659574468085
2017,Sweden,448,4001,0.11197200699825044
2017,Singapore,70,2322,0.030146425495262703
2017,Slovenia,17,633,0.026856240126382307
2017,Slovakia,8,514,0.01556420233463035
2017,Sierra Leone,0,4,0
2017,San Marino,0,1,0
2017,Senegal,0,75,0
2017,Somalia,0,3,0
2017,Suriname,0,2,0
2017,South Sudan,0,2,0
2017,El Salvador,0,3,0
2017,Sint Maarten,0,1,0
2017,Syria,0,32,0
2017,Eswatini,0,3,0
2017,Togo,0,21,0
2017,Thailand,32,1827,0.01751505199781062
2017,Tajikistan,0,8,0
2017,Timor-Leste,0,1,0
2017,Turkmenistan,0,3,0
2017,Tunisia,14,2065,0.006779661016949152
2017,Tonga,0,1,0
2017,Turkey,27,5171,0.005221427190098627
2017,Trinidad & Tobago,1,25,0.04
2017,Taiwan,48,4589,0.010459795162344738
2017,Tanzania,4,66,0.06060606060606061
2017,Ukraine,4,590,0.006779661016949152
2017,Uganda,8,72,0.1111111111111111
2017,United States,2691,83175,0.03235347159603246
2017,Uruguay,0,197,0
2017,Uzbekistan,0,113,0
2017,St. Vincent & Grenadines,0,1,0
2017,Venezuela,1,130,0.007692307692307693
2017,Vietnam,8,598,0.013377926421404682
2017,Samoa,0,1,0
2017,Yemen,0,40,0
2017,South Africa,325,2364,0.1374788494077834
2017,Zambia,1,18,0.05555555555555555
2017,Zimbabwe,6,51,0.11764705882352941
2018,Andorra,0,2,0
2018,United Arab Emirates,9,475,0.018947368421052633
2018,Afghanistan,0,9,0
2018,Antigua & Barbuda,0,3,0
2018,Albania,0,19,0
2018,Armenia,0,60,0
2018,Angola,0,2,0
2018,Argentina,14,2044,0.00684931506849315
2018,Austria,270,2296,0.11759581881533102
2018,Australia,314,12305,0.0255180820804551
2018,Azerbaijan,2,55,0.03636363636363636
2018,Bosnia & Herzegovina,0,51,0
2018,Barbados,0,6,0
2018,Bangladesh,10,408,0.024509803921568627
2018,Belgium,215,3881,0.055398093274929144
2018,Burkina Faso,3,48,0.0625
2018,Bulgaria,4,282,0.014184397163120567
2018,Bahrain,1,25,0.04
2018,Burundi,0,6,0
2018,Benin,4,52,0.07692307692307693
2018,Bermuda,0,1,0
2018,Brunei,0,35,0
2018,Bolivia,0,15,0
2018,Brazil,76,11316,0.00671615411806292
2018,Bahamas,0,4,0
2018,Bhutan,1,3,0.3333333333333333
2018,Botswana,1,48,0.020833333333333332
2018,Belarus,1,100,0.01
2018,Belize,0,1,0
2018,Canada,455,12949,0.0351378484825083
2018,Congo - Kinshasa,2,32,0.0625
2018,Central African Republic,0,2,0
2018,Congo - Brazzaville,2,13,0.15384615384615385
2018,Switzerland,372,4067,0.09146791246619129
2018,Côte d’Ivoire,4,50,0.08
2018,Chile,31,1329,0.023325808878856283
2018,Cameroon,3,215,0.013953488372093023
2018,China,760,99552,0.007634201221472196
2018,Colombia,16,1060,0.01509433962264151
2018,Costa Rica,4,70,0.05714285714285714
2018,Cuba,6,124,0.04838709677419355
2018,Cape Verde,0,1,0
2018,Cyprus,3,306,0.00980392156862745
2018,Czechia,41,2209,0.018560434585785424
2018,Germany,1044,15944,0.06547917711991971
2018,Djibouti,0,2,0
2018,Denmark,186,3019,0.06160980457105002
2018,Dominica,0,3,0
2018,Dominican Republic,1,4,0.25
2018,Algeria,4,1085,0.003686635944700461
2018,Ecuador,5,203,0.024630541871921183
2018,Estonia,5,249,0.020080321285140562
2018,Egypt,28,2937,0.009533537623425264
2018,Spain,374,15888,0.023539778449144007
2018,Ethiopia,11,203,0.054187192118226604
2018,Finland,313,2176,0.14384191176470587
2018,Fiji,1,28,0.03571428571428571
2018,Falkland Islands,0,3,0
2018,Faroe Islands,0,8,0
2018,France,344,18932,0.01817029368265371
2018,Gabon,1,14,0.07142857142857142
2018,United Kingdom,3837,20520,0.18698830409356726
2018,Grenada,0,10,0
2018,Georgia,1,126,0.007936507936507936
2018,French Guiana,1,11,0.09090909090909091
2018,Ghana,10,187,0.053475935828877004
2018,Gibraltar,0,1,0
2018,Greenland,0,5,0
2018,Gambia,2,4,0.5
2018,Guinea,0,3,0
2018,Guadeloupe,1,19,0.05263157894736842
2018,Greece,27,2376,0.011363636363636364
2018,Guatemala,0,14,0
2018,Guinea-Bissau,0,3,0
2018,Honduras,1,9,0.1111111111111111
2018,Croatia,18,524,0.03435114503816794
2018,Haiti,0,1,0
2018,Hungary,47,1063,0.04421448730009407
2018,Indonesia,23,521,0.044145873320537425
2018,Ireland,54,1520,0.035526315789473684
2018,Israel,41,2575,0.015922330097087378
