country_name_fct,cr_year,articles,cc_total,prop
China,'17,80291,540,0.006725535863297256
China,'18,98047,735,0.007496404785460035
China,'19,115299,1337,0.01159593751897241
China,'20,132540,2101,0.01585181831899804
China,'21,145459,2733,0.018788799593012464
China,'22,171013,4456,0.026056498628759216
China,'23,193010,6073,0.03146469094865551
China,'24,192697,8713,0.045216064598826135
China,'25,54969,4395,0.07995415597882442
United States,'17,84108,2716,0.03229181528510962
United States,'18,84277,2995,0.03553757252868517
United States,'19,84301,3229,0.038303222974816434
United States,'20,87074,3969,0.045581918827663825
United States,'21,86454,6255,0.07235061419945867
United States,'22,77233,7358,0.09527015653930315
United States,'23,73912,7997,0.10819623335858859
United States,'24,66070,9616,0.14554260632662328
United States,'25,30932,5771,0.18657054183369973
India,'17,17700,161,0.009096045197740113
India,'18,19673,138,0.00701469018451685
India,'19,19940,220,0.011033099297893681
India,'20,24382,210,0.008612911163973423
India,'21,29727,243,0.008174386920980926
India,'22,29921,491,0.01640987934895224
India,'23,29549,484,0.016379572912788926
India,'24,23878,687,0.02877125387385878
India,'25,5740,228,0.0397212543554007
United Kingdom,'17,20771,3796,0.1827548023686871
United Kingdom,'18,20930,3911,0.1868609651218347
United Kingdom,'19,21262,3385,0.15920421409086633
United Kingdom,'20,21430,3197,0.14918338777414838
United Kingdom,'21,21935,3566,0.1625712331889674
United Kingdom,'22,18490,7508,0.40605732828555974
United Kingdom,'23,16840,10098,0.5996437054631829
United Kingdom,'24,15450,9656,0.6249838187702266
United Kingdom,'25,5489,3287,0.5988340316997631
France,'17,19441,332,0.01707731083791986
France,'18,19191,386,0.02011359491428274
France,'19,17952,438,0.024398395721925134
France,'20,18286,529,0.028929235480695613
France,'21,17606,793,0.04504146313756674
France,'22,15861,961,0.060588865771388944
France,'23,16407,1167,0.07112817699762297
France,'24,14157,3677,0.2597301688210779
France,'25,5545,2298,0.41442741208295764
Spain,'17,16408,270,0.016455387615797172
Spain,'18,16548,380,0.022963500120860528
Spain,'19,16751,486,0.029013193242194497
Spain,'20,16875,618,0.03662222222222222
Spain,'21,16954,3410,0.20113247611183202
Spain,'22,15281,6053,0.3961128198416334
Spain,'23,15277,7174,0.4695948157360738
Spain,'24,13711,7199,0.5250528772518416
Spain,'25,4684,1924,0.4107600341588386
Italy,'17,15331,415,0.02706933663818407
Italy,'18,15535,566,0.03643385902800129
Italy,'19,14774,640,0.043319344794909974
Italy,'20,15826,759,0.04795905472008088
Italy,'21,15647,1115,0.07125966638972327
Italy,'22,13449,1322,0.09829727117257789
Italy,'23,13529,5571,0.4117820977160174
Italy,'24,13048,7596,0.582158185162477
Italy,'25,4658,2398,0.514813224559897
Germany,'17,16319,888,0.05441509896439733
Germany,'18,16307,1062,0.0651254062672472
Germany,'19,15740,1245,0.07909783989834816
Germany,'20,14868,1594,0.10721011568469195
Germany,'21,15216,2473,0.16252628811777076
Germany,'22,13533,2816,0.20808394295425997
Germany,'23,13046,3126,0.23961367468956002
Germany,'24,11485,7445,0.6482368306486722
Germany,'25,3787,2889,0.7628729865328756
Japan,'17,16859,546,0.032386262530399196
Japan,'18,14846,657,0.0442543446046073
Japan,'19,15031,749,0.049830350608741934
Japan,'20,14819,1050,0.07085498346717052
Japan,'21,14612,1649,0.11285245004106215
Japan,'22,13210,1869,0.14148372445117335
Japan,'23,12304,1772,0.1440182054616385
Japan,'24,11175,2655,0.23758389261744967
Japan,'25,4491,1502,0.3344466711200178
Canada,'17,12594,410,0.03255518500873432
Canada,'18,13087,461,0.0352257965920379
Canada,'19,13061,548,0.04195697113544139
Canada,'20,13402,694,0.051783315922996564
Canada,'21,13767,1029,0.07474395293092177
Canada,'22,12380,1167,0.09426494345718901
Canada,'23,11641,1262,0.10840993041834894
Canada,'24,10271,4378,0.42624866127933014
Canada,'25,4248,2405,0.5661487758945386
Australia,'17,12423,293,0.023585285357804072
Australia,'18,12421,319,0.025682312213187345
Australia,'19,13057,365,0.027954353986367465
Australia,'20,12931,440,0.034026757404686414
Australia,'21,13390,731,0.05459297983569828
Australia,'22,12024,948,0.07884231536926148
Australia,'23,10853,4013,0.36975951349857183
Australia,'24,9895,6829,0.6901465386558868
Australia,'25,3945,2528,0.6408111533586819
South Korea,'17,12371,129,0.01042761296580713
South Korea,'18,12386,136,0.010980138866462135
South Korea,'19,12540,219,0.017464114832535887
South Korea,'20,11938,326,0.02730775674317306
South Korea,'21,12442,747,0.06003857900659058
South Korea,'22,11853,966,0.0814983548468742
South Korea,'23,12332,1236,0.10022705157314304
South Korea,'24,11435,1306,0.11421075644949716
South Korea,'25,3187,437,0.13711954816441796
Brazil,'17,10750,80,0.0074418604651162795
Brazil,'18,11410,76,0.0066608238387379495
Brazil,'19,12353,91,0.007366631587468631
Brazil,'20,13560,137,0.010103244837758112
Brazil,'21,14458,238,0.016461474616129478
Brazil,'22,11666,336,0.028801645808331906
Brazil,'23,11090,373,0.03363390441839495
Brazil,'24,10588,525,0.049584435209671325
Brazil,'25,3853,207,0.05372437062029587
Iran,'17,9822,17,0.0017308083893300753
Iran,'18,11095,27,0.002433528616493916
Iran,'19,11817,38,0.003215706186003216
Iran,'20,13282,72,0.005420870350850776
Iran,'21,13139,132,0.010046426668696248
Iran,'22,11689,230,0.019676619043545212
Iran,'23,11104,285,0.0256664265129683
Iran,'24,8961,430,0.04798571587992412
Iran,'25,2199,137,0.062301045929968164
Netherlands,'17,7155,1022,0.14283717679944094
Netherlands,'18,7030,1371,0.19502133712660027
Netherlands,'19,7295,1545,0.2117888965044551
Netherlands,'20,7163,3223,0.44995113779142815
Netherlands,'21,7286,4842,0.6645621740323909
Netherlands,'22,6842,4779,0.6984799766150248
Netherlands,'23,6752,4892,0.7245260663507109
Netherlands,'24,6232,4699,0.7540115532734275
Netherlands,'25,2630,1910,0.7262357414448669
Turkey,'17,5197,26,0.0050028862805464695
Turkey,'18,5327,27,0.005068518866153557
Turkey,'19,5842,45,0.007702841492639507
Turkey,'20,6829,44,0.006443110265046127
Turkey,'21,7647,86,0.011246240355695044
Turkey,'22,7563,154,0.020362290096522545
Turkey,'23,7766,182,0.02343548802472315
Turkey,'24,7022,238,0.03389347764169752
Turkey,'25,2612,115,0.044027565084226644
Poland,'17,4986,73,0.014640994785399118
