cr_year,cat,article_total,name,oa_articles,oa_share
2017,Germany,16126,Crossref,880,0.054570259208731244
2017,Germany,16126,Unpaywall,958,0.05940716854768697
2018,Germany,16113,Crossref,1059,0.06572332898901508
2018,Germany,16113,Unpaywall,1159,0.07192949792093341
2019,Germany,15537,Crossref,1243,0.08000257449958165
2019,Germany,15537,Unpaywall,1330,0.08560211108965694
2020,Germany,14732,Crossref,1586,0.1076568015204996
2020,Germany,14732,Unpaywall,1636,0.11105077382568558
2021,Germany,14998,Crossref,2456,0.1637551673556474
2021,Germany,14998,Unpaywall,2456,0.1637551673556474
2022,Germany,13139,Crossref,2811,0.21394322246746328
2022,Germany,13139,Unpaywall,2559,0.1947636806454068
2023,Germany,12934,Crossref,3110,0.2404515231173651
2023,Germany,12934,Unpaywall,3074,0.23766816143497757
2024,Germany,7864,Crossref,4614,0.5867243133265514
2024,Germany,7864,Unpaywall,4438,0.5643438453713123
