cr_year,cat,article_total,name,oa_articles,oa_share
2017,Global,474285,Crossref,14526,0.03062715455896771
2017,Global,474285,Unpaywall,50041,0.10550829142814974
2018,Global,492599,Crossref,16789,0.034082489002210725
2018,Global,492599,Unpaywall,55866,0.11341070525924737
2019,Global,514727,Crossref,19647,0.038169748235472395
2019,Global,514727,Unpaywall,56207,0.10919769120329806
2020,Global,546349,Crossref,28355,0.05189906085670515
2020,Global,546349,Unpaywall,62246,0.1139308390790502
2021,Global,575316,Crossref,46232,0.08035931557613556
2021,Global,575316,Unpaywall,58866,0.10231942097907933
2022,Global,572217,Crossref,60987,0.10658019597460404
2022,Global,572217,Unpaywall,58723,0.1026236550119972
2023,Global,584759,Crossref,77155,0.13194324499494664
2023,Global,584759,Unpaywall,77041,0.1317482928864712
2024,Global,384904,Crossref,63222,0.16425394384054207
2024,Global,384904,Unpaywall,59741,0.1552101303182092
