esac_publisher,cat,name,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Elsevier (DEAL),Germany,TDM Support,1,1,1,1,1,1,1,1,1,1
Elsevier (DEAL),Germany,ORCID,0.21372328458942633,0.34176029962546817,0.42105263157894735,0.34766355140186916,0.49575757575757573,0.5194295900178253,0.66420070762303,0.6606886657101865,0.7143632613179893,0.7700232635427052
Elsevier (DEAL),Germany,Funder info,0.5984251968503937,0.7078651685393258,0.7615629984051037,0.8218068535825546,0.7155555555555555,0.5019607843137255,0.5516243165004825,0.5766379722620756,0.6795136250135707,0.7268195413758723
Elsevier (DEAL),Germany,Open Abstracts,0,0,0,0,0,0,0,1.1956001912960307e-4,0,0
Elsevier (DEAL),Germany,Open Citations,0.9955005624296963,0.9971910112359551,0.9960127591706539,0.9993769470404984,0.9975757575757576,0.9953654188948307,0.9987134126728852,0.9985652797704447,0.996960156334817,0.9926886008640744
Elsevier (DEAL),Global,TDM Support,1,1,1,1,1,1,1,1,1,1
Elsevier (DEAL),Global,ORCID,0.22668876916701203,0.3461653237839451,0.4102629825190957,0.3328019837052781,0.47960116689162713,0.48429551347271,0.6230835798147837,0.6257737810976653,0.6688766950673631,0.7291517503862531
Elsevier (DEAL),Global,Funder info,0.562992125984252,0.6721575649059982,0.7579330496744758,0.7930924548352816,0.6914486001654547,0.4980636056319538,0.5106105420869768,0.5749182292464476,0.6917413314383255,0.7417002675509666
Elsevier (DEAL),Global,Open Abstracts,0,1.1936735302894658e-4,1.0252729789306403e-4,1.7711654268508679e-4,8.708146471023643e-5,1.1487085234172437e-4,1.8082481949808197e-4,1.4416882169019922e-4,1.611733419292449e-4,3.7683234728869125e-5
Elsevier (DEAL),Global,Open Citations,0.9800386793756044,0.9821545807221724,0.9829292049008048,0.9936946510804109,0.9944485566247224,0.9936821031212052,0.9954277152784057,0.9958551463764068,0.9933039802489395,0.9900893092663074
