cr_year,jn_all,cc,cc_total,prop
2017,288,CC BY,3,0.010416666666666666
2017,288,CC BY-SA,0,0
2017,288,CC BY-NC,0,0
2017,288,CC BY-NC-SA,0,0
2017,288,CC BY-ND,0,0
2017,288,CC BY-NC-ND,4,0.013888888888888888
2018,320,CC BY,1,0.003125
2018,320,CC BY-SA,0,0
2018,320,CC BY-NC,3,0.009375
2018,320,CC BY-NC-SA,0,0
2018,320,CC BY-ND,0,0
2018,320,CC BY-NC-ND,4,0.0125
2019,348,CC BY,0,0
2019,348,CC BY-SA,0,0
2019,348,CC BY-NC,7,0.020114942528735632
2019,348,CC BY-NC-SA,0,0
2019,348,CC BY-ND,0,0
2019,348,CC BY-NC-ND,19,0.05459770114942529
2020,360,CC BY,1,0.002777777777777778
2020,360,CC BY-SA,0,0
2020,360,CC BY-NC,5,0.013888888888888888
2020,360,CC BY-NC-SA,0,0
2020,360,CC BY-ND,0,0
2020,360,CC BY-NC-ND,28,0.07777777777777778
2021,371,CC BY,3,0.008086253369272238
2021,371,CC BY-SA,0,0
2021,371,CC BY-NC,1,0.0026954177897574125
2021,371,CC BY-NC-SA,0,0
2021,371,CC BY-ND,0,0
2021,371,CC BY-NC-ND,144,0.3881401617250674
2022,352,CC BY,25,0.07102272727272728
2022,352,CC BY-SA,0,0
2022,352,CC BY-NC,8,0.022727272727272728
2022,352,CC BY-NC-SA,0,0
2022,352,CC BY-ND,1,0.002840909090909091
2022,352,CC BY-NC-ND,173,0.4914772727272727
2023,343,CC BY,112,0.32653061224489793
2023,343,CC BY-SA,0,0
2023,343,CC BY-NC,24,0.06997084548104957
2023,343,CC BY-NC-SA,0,0
2023,343,CC BY-ND,8,0.023323615160349854
2023,343,CC BY-NC-ND,85,0.2478134110787172
2024,375,CC BY,147,0.392
2024,375,CC BY-SA,0,0
2024,375,CC BY-NC,32,0.08533333333333333
2024,375,CC BY-NC-SA,0,0
2024,375,CC BY-ND,6,0.016
2024,375,CC BY-NC-ND,63,0.168
2025,161,CC BY,46,0.2857142857142857
2025,161,CC BY-SA,0,0
2025,161,CC BY-NC,19,0.11801242236024845
2025,161,CC BY-NC-SA,0,0
2025,161,CC BY-ND,4,0.024844720496894408
2025,161,CC BY-NC-ND,27,0.16770186335403728
