cr_year,cc,cc_total,jn_all,prop
2017,CC BY,5,930,0.005376344086021506
2017,CC BY-SA,0,NA,0
2017,CC BY-NC,2,930,0.002150537634408602
2017,CC BY-NC-SA,0,NA,0
2017,CC BY-ND,0,NA,0
2017,CC BY-NC-ND,5,930,0.005376344086021506
2018,CC BY,2,940,0.002127659574468085
2018,CC BY-SA,0,NA,0
2018,CC BY-NC,5,940,0.005319148936170213
2018,CC BY-NC-SA,0,NA,0
2018,CC BY-ND,0,NA,0
2018,CC BY-NC-ND,13,940,0.013829787234042552
2019,CC BY,0,NA,0
2019,CC BY-SA,0,NA,0
2019,CC BY-NC,17,1010,0.016831683168316833
2019,CC BY-NC-SA,0,NA,0
2019,CC BY-ND,0,NA,0
2019,CC BY-NC-ND,28,1010,0.027722772277227723
2020,CC BY,4,1029,0.003887269193391642
2020,CC BY-SA,0,NA,0
2020,CC BY-NC,9,1029,0.008746355685131196
2020,CC BY-NC-SA,0,NA,0
2020,CC BY-ND,0,NA,0
2020,CC BY-NC-ND,46,1029,0.04470359572400389
2021,CC BY,6,946,0.006342494714587738
2021,CC BY-SA,0,NA,0
2021,CC BY-NC,8,946,0.008456659619450317
2021,CC BY-NC-SA,0,NA,0
2021,CC BY-ND,0,NA,0
2021,CC BY-NC-ND,167,946,0.17653276955602537
2022,CC BY,32,959,0.03336809176225235
2022,CC BY-SA,0,NA,0
2022,CC BY-NC,14,959,0.014598540145985401
2022,CC BY-NC-SA,0,NA,0
2022,CC BY-ND,1,959,0.0010427528675703858
2022,CC BY-NC-ND,212,959,0.2210636079249218
2023,CC BY,140,944,0.1483050847457627
2023,CC BY-SA,0,NA,0
2023,CC BY-NC,29,944,0.03072033898305085
2023,CC BY-NC-SA,0,NA,0
2023,CC BY-ND,11,944,0.011652542372881356
2023,CC BY-NC-ND,98,944,0.1038135593220339
2024,CC BY,189,940,0.20106382978723406
2024,CC BY-SA,0,NA,0
2024,CC BY-NC,40,940,0.0425531914893617
2024,CC BY-NC-SA,0,NA,0
2024,CC BY-ND,6,940,0.006382978723404255
2024,CC BY-NC-ND,76,940,0.08085106382978724
2025,CC BY,41,235,0.17446808510638298
2025,CC BY-SA,0,NA,0
2025,CC BY-NC,12,235,0.05106382978723404
2025,CC BY-NC-SA,0,NA,0
2025,CC BY-ND,4,235,0.01702127659574468
2025,CC BY-NC-ND,25,235,0.10638297872340426
