country_name_fct,cr_year,articles,cc_total,prop
Germany,'17,288,7,0.024305555555555556
Germany,'18,320,8,0.025
Germany,'19,348,26,0.07471264367816093
Germany,'20,360,34,0.09444444444444444
Germany,'21,371,148,0.39892183288409705
Germany,'22,352,207,0.5880681818181818
Germany,'23,337,223,0.6617210682492581
Germany,'24,368,243,0.6603260869565217
Germany,'25,315,196,0.6222222222222222
United States,'17,80,0,0
United States,'18,79,2,0.02531645569620253
United States,'19,109,3,0.027522935779816515
United States,'20,118,3,0.025423728813559324
United States,'21,104,5,0.04807692307692308
United States,'22,89,2,0.02247191011235955
United States,'23,93,6,0.06451612903225806
United States,'24,104,6,0.057692307692307696
United States,'25,82,8,0.0975609756097561
Switzerland,'17,29,0,0
Switzerland,'18,30,0,0
Switzerland,'19,27,2,0.07407407407407407
Switzerland,'20,39,5,0.1282051282051282
Switzerland,'21,35,3,0.08571428571428572
Switzerland,'22,36,7,0.19444444444444445
Switzerland,'23,35,3,0.08571428571428572
Switzerland,'24,22,4,0.18181818181818182
Switzerland,'25,19,4,0.21052631578947367
Austria,'17,21,1,0.047619047619047616
Austria,'18,20,0,0
Austria,'19,31,3,0.0967741935483871
Austria,'20,33,3,0.09090909090909091
Austria,'21,31,7,0.22580645161290322
Austria,'22,35,11,0.3142857142857143
Austria,'23,29,2,0.06896551724137931
Austria,'24,11,3,0.2727272727272727
Austria,'25,21,4,0.19047619047619047
United Kingdom,'17,19,1,0.05263157894736842
United Kingdom,'18,22,3,0.13636363636363635
United Kingdom,'19,41,3,0.07317073170731707
United Kingdom,'20,18,1,0.05555555555555555
United Kingdom,'21,35,5,0.14285714285714285
United Kingdom,'22,30,2,0.06666666666666667
United Kingdom,'23,27,2,0.07407407407407407
United Kingdom,'24,25,11,0.44
United Kingdom,'25,14,6,0.42857142857142855
Netherlands,'17,22,0,0
Netherlands,'18,21,2,0.09523809523809523
Netherlands,'19,18,2,0.1111111111111111
Netherlands,'20,38,4,0.10526315789473684
Netherlands,'21,12,4,0.3333333333333333
Netherlands,'22,23,4,0.17391304347826086
Netherlands,'23,24,4,0.16666666666666666
Netherlands,'24,20,6,0.3
Netherlands,'25,9,2,0.2222222222222222
Australia,'17,24,0,0
Australia,'18,20,0,0
Australia,'19,20,0,0
Australia,'20,30,2,0.06666666666666667
Australia,'21,18,1,0.05555555555555555
Australia,'22,26,5,0.19230769230769232
Australia,'23,17,1,0.058823529411764705
Australia,'24,19,5,0.2631578947368421
Australia,'25,11,2,0.18181818181818182
Canada,'17,14,0,0
Canada,'18,17,0,0
Canada,'19,15,0,0
Canada,'20,20,0,0
Canada,'21,15,1,0.06666666666666667
Canada,'22,20,3,0.15
Canada,'23,25,3,0.12
Canada,'24,27,4,0.14814814814814814
Canada,'25,16,2,0.125
Italy,'17,14,0,0
Italy,'18,21,0,0
Italy,'19,16,0,0
Italy,'20,15,0,0
Italy,'21,14,0,0
Italy,'22,17,3,0.17647058823529413
Italy,'23,17,0,0
Italy,'24,14,1,0.07142857142857142
Italy,'25,11,5,0.45454545454545453
China,'17,12,0,0
China,'18,15,1,0.06666666666666667
China,'19,8,0,0
China,'20,9,0,0
China,'21,15,0,0
China,'22,17,1,0.058823529411764705
China,'23,13,1,0.07692307692307693
China,'24,15,0,0
China,'25,18,0,0
France,'17,7,0,0
France,'18,9,0,0
France,'19,9,0,0
France,'20,8,0,0
France,'21,13,2,0.15384615384615385
France,'22,21,0,0
France,'23,18,2,0.1111111111111111
France,'24,12,1,0.08333333333333333
France,'25,10,0,0
Spain,'17,11,0,0
Spain,'18,10,0,0
Spain,'19,12,0,0
Spain,'20,6,0,0
Spain,'21,9,1,0.1111111111111111
Spain,'22,5,1,0.2
Spain,'23,6,0,0
Spain,'24,11,0,0
Spain,'25,7,2,0.2857142857142857
Belgium,'17,7,0,0
Belgium,'18,9,1,0.1111111111111111
Belgium,'19,9,1,0.1111111111111111
Belgium,'20,5,0,0
Belgium,'21,3,0,0
Belgium,'22,9,1,0.1111111111111111
Belgium,'23,8,2,0.25
Belgium,'24,11,1,0.09090909090909091
Belgium,'25,3,0,0
Israel,'17,5,0,0
Israel,'18,7,0,0
Israel,'19,11,1,0.09090909090909091
Israel,'20,6,0,0
Israel,'21,10,0,0
Israel,'22,4,0,0
Israel,'23,5,0,0
Israel,'24,10,0,0
Israel,'25,4,2,0.5
Poland,'17,5,0,0
Poland,'18,3,0,0
Poland,'19,3,0,0
Poland,'20,3,0,0
Poland,'21,7,2,0.2857142857142857
Poland,'22,12,1,0.08333333333333333
Poland,'23,11,2,0.18181818181818182
Poland,'24,7,1,0.14285714285714285
Poland,'25,7,1,0.14285714285714285
Portugal,'17,3,0,0
Portugal,'18,4,0,0
Portugal,'19,11,0,0
Portugal,'20,5,0,0
Portugal,'21,4,0,0
Portugal,'22,4,0,0
Portugal,'23,6,0,0
Portugal,'24,10,1,0.1
Portugal,'25,7,1,0.14285714285714285
New Zealand,'17,4,0,0
New Zealand,'18,7,0,0
New Zealand,'19,7,0,0
New Zealand,'20,10,0,0
New Zealand,'21,5,0,0
New Zealand,'23,3,0,0
New Zealand,'24,5,0,0
New Zealand,'25,4,0,0
Norway,'17,3,0,0
Norway,'18,2,0,0
Norway,'19,7,0,0
Norway,'20,8,1,0.125
Norway,'21,5,1,0.2
Norway,'22,7,2,0.2857142857142857
Norway,'23,3,0,0
Norway,'24,6,1,0.16666666666666666
Norway,'25,4,0,0
Japan,'17,1,0,0
Japan,'18,5,1,0.2
Japan,'19,4,0,0
Japan,'20,8,1,0.125
Japan,'21,6,1,0.16666666666666666
Japan,'22,5,1,0.2
Japan,'23,6,0,0
Japan,'24,3,1,0.3333333333333333
Japan,'25,6,2,0.3333333333333333
Sweden,'17,2,0,0
Sweden,'18,6,1,0.16666666666666666
Sweden,'19,7,0,0
Sweden,'20,8,2,0.25
Sweden,'21,7,1,0.14285714285714285
Sweden,'22,2,0,0
Sweden,'23,6,2,0.3333333333333333
Sweden,'24,4,2,0.5
Sweden,'25,2,1,0.5
Other,'17,46,1,0.021739130434782608
Other,'18,44,0,0
Other,'19,62,2,0.03225806451612903
Other,'20,69,3,0.043478260869565216
Other,'21,62,5,0.08064516129032258
Other,'22,57,2,0.03508771929824561
Other,'23,56,2,0.03571428571428571
Other,'24,84,3,0.03571428571428571
Other,'25,45,6,0.13333333333333333
