cr_year,cat,article_total,name,oa_articles,oa_share
2017,Germany,285,Crossref,8,0.028070175438596492
2017,Germany,285,Unpaywall,7,0.02456140350877193
2018,Germany,316,Crossref,8,0.02531645569620253
2018,Germany,316,Unpaywall,6,0.0189873417721519
2019,Germany,349,Crossref,26,0.07449856733524356
2019,Germany,349,Unpaywall,20,0.05730659025787966
2020,Germany,347,Crossref,34,0.09798270893371758
2020,Germany,347,Unpaywall,32,0.09221902017291066
2021,Germany,371,Crossref,162,0.4366576819407008
2021,Germany,371,Unpaywall,161,0.4339622641509434
2022,Germany,398,Crossref,232,0.5829145728643216
2022,Germany,398,Unpaywall,240,0.6030150753768844
2023,Germany,201,Crossref,121,0.6019900497512438
2023,Germany,201,Unpaywall,108,0.5373134328358209
