cr_year,cat,article_total,name,oa_articles,oa_share
2017,Global,930,Crossref,12,0.012903225806451613
2017,Global,930,Unpaywall,12,0.012903225806451613
2018,Global,941,Crossref,20,0.021253985122210415
2018,Global,941,Unpaywall,20,0.021253985122210415
2019,Global,1010,Crossref,45,0.04455445544554455
2019,Global,1010,Unpaywall,45,0.04455445544554455
2020,Global,1029,Crossref,59,0.057337220602526724
2020,Global,1029,Unpaywall,62,0.06025267249757046
2021,Global,944,Crossref,181,0.1917372881355932
2021,Global,944,Unpaywall,181,0.1917372881355932
2022,Global,966,Crossref,265,0.2743271221532091
2022,Global,966,Unpaywall,273,0.2826086956521739
2023,Global,961,Crossref,285,0.29656607700312176
2023,Global,961,Unpaywall,291,0.3028095733610822
2024,Global,633,Crossref,213,0.33649289099526064
2024,Global,633,Unpaywall,193,0.3048973143759874
